Matrix Size,Function,Implementation,Execution Time
64,SYMMETRY,SEQUENTIAL,0.000007205
64,TRANSPOSITION,SEQUENTIAL,0.000017390
64,SYMMETRY,SEQUENTIAL,0.000006743
64,TRANSPOSITION,SEQUENTIAL,0.000011936
64,SYMMETRY,SEQUENTIAL,0.000006780
64,TRANSPOSITION,SEQUENTIAL,0.000013076
64,SYMMETRY,SEQUENTIAL,0.000006802
64,TRANSPOSITION,SEQUENTIAL,0.000012942
64,SYMMETRY,SEQUENTIAL,0.000006832
64,TRANSPOSITION,SEQUENTIAL,0.000012025
64,TRANSPOSITION,SEQUENTIAL,0.000011489
64,TRANSPOSITION,SEQUENTIAL,0.000011459
64,TRANSPOSITION,SEQUENTIAL,0.000011481
64,TRANSPOSITION,SEQUENTIAL,0.000011586
64,TRANSPOSITION,SEQUENTIAL,0.000011638
128,SYMMETRY,SEQUENTIAL,0.000026979
128,TRANSPOSITION,SEQUENTIAL,0.000073418
128,SYMMETRY,SEQUENTIAL,0.000026979
128,TRANSPOSITION,SEQUENTIAL,0.000048146
128,SYMMETRY,SEQUENTIAL,0.000027165
128,TRANSPOSITION,SEQUENTIAL,0.000051871
128,SYMMETRY,SEQUENTIAL,0.000027142
128,TRANSPOSITION,SEQUENTIAL,0.000055477
128,SYMMETRY,SEQUENTIAL,0.000026941
128,TRANSPOSITION,SEQUENTIAL,0.000052735
128,TRANSPOSITION,SEQUENTIAL,0.000047795
128,TRANSPOSITION,SEQUENTIAL,0.000047803
128,TRANSPOSITION,SEQUENTIAL,0.000048541
128,TRANSPOSITION,SEQUENTIAL,0.000047632
128,TRANSPOSITION,SEQUENTIAL,0.000050820
256,SYMMETRY,SEQUENTIAL,0.000106499
256,TRANSPOSITION,SEQUENTIAL,0.000545599
256,SYMMETRY,SEQUENTIAL,0.000115544
256,TRANSPOSITION,SEQUENTIAL,0.000372358
256,SYMMETRY,SEQUENTIAL,0.000116333
256,TRANSPOSITION,SEQUENTIAL,0.000412047
256,SYMMETRY,SEQUENTIAL,0.000106566
256,TRANSPOSITION,SEQUENTIAL,0.000403754
256,SYMMETRY,SEQUENTIAL,0.000106625
256,TRANSPOSITION,SEQUENTIAL,0.000417598
256,TRANSPOSITION,SEQUENTIAL,0.000416711
