Matrix Size,Threads,Function,Implementation,Execution Time
16,1,SYMMETRY,OMP,0.000025354
16,1,TRANSPOSITION,OMP,0.000001214
16,1,SYMMETRY,OMP,0.000011474
16,1,TRANSPOSITION,OMP,0.000001058
16,1,SYMMETRY,OMP,0.000011794
16,1,TRANSPOSITION,OMP,0.000001065
16,1,SYMMETRY,OMP,0.000011802
16,1,TRANSPOSITION,OMP,0.000001088
16,1,SYMMETRY,OMP,0.000011556
16,1,TRANSPOSITION,OMP,0.000001095
16,1,TRANSPOSITION,OMP,0.000001773
16,1,TRANSPOSITION,OMP,0.000001371
16,1,TRANSPOSITION,OMP,0.000001393
16,1,TRANSPOSITION,OMP,0.000001326
16,1,TRANSPOSITION,OMP,0.000001274
32,1,SYMMETRY,OMP,0.000023127
32,1,TRANSPOSITION,OMP,0.000002936
32,1,SYMMETRY,OMP,0.000022702
32,1,TRANSPOSITION,OMP,0.000002846
32,1,SYMMETRY,OMP,0.000022613
32,1,TRANSPOSITION,OMP,0.000002831
32,1,SYMMETRY,OMP,0.000022136
32,1,TRANSPOSITION,OMP,0.000002801
32,1,SYMMETRY,OMP,0.000022188
32,1,TRANSPOSITION,OMP,0.000002779
32,1,TRANSPOSITION,OMP,0.000002772
32,1,TRANSPOSITION,OMP,0.000002831
32,1,TRANSPOSITION,OMP,0.000002772
32,1,TRANSPOSITION,OMP,0.000003129
32,1,TRANSPOSITION,OMP,0.000003487
64,1,SYMMETRY,OMP,0.000049658
64,1,TRANSPOSITION,OMP,0.000010163
64,1,SYMMETRY,OMP,0.000049539
64,1,TRANSPOSITION,OMP,0.000009984
64,1,SYMMETRY,OMP,0.000054330
64,1,TRANSPOSITION,OMP,0.000009835
64,1,SYMMETRY,OMP,0.000050642
64,1,TRANSPOSITION,OMP,0.000009969
64,1,SYMMETRY,OMP,0.000048414
64,1,TRANSPOSITION,OMP,0.000010148
64,1,TRANSPOSITION,OMP,0.000010252
64,1,TRANSPOSITION,OMP,0.000010267
64,1,TRANSPOSITION,OMP,0.000010140
64,1,TRANSPOSITION,OMP,0.000010163
64,1,TRANSPOSITION,OMP,0.000010163
128,1,SYMMETRY,OMP,0.000114478
128,1,TRANSPOSITION,OMP,0.000040188
128,1,SYMMETRY,OMP,0.000109337
128,1,TRANSPOSITION,OMP,0.000040062
128,1,SYMMETRY,OMP,0.000108302
128,1,TRANSPOSITION,OMP,0.000040174
128,1,SYMMETRY,OMP,0.000107788
128,1,TRANSPOSITION,OMP,0.000040136
