Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,2,SYMMETRY,MPI,REDUCE,0.000128031,0.000001669
16,2,TRANSPOSITION,MPI,SCATTER,0.000055552,0.000000477
16,2,SYMMETRY,MPI,REDUCE,0.000006437,0.000000238
16,2,TRANSPOSITION,MPI,SCATTER,0.000005484,0.000000238
16,2,SYMMETRY,MPI,REDUCE,0.000013113,0.000000715
16,2,TRANSPOSITION,MPI,SCATTER,0.000167131,0.000000477
16,2,SYMMETRY,MPI,REDUCE,0.000005960,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000004292,0.000000477
16,2,SYMMETRY,MPI,REDUCE,0.000005484,0.000000477
16,2,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000000477
16,2,TRANSPOSITION,MPI,SCATTER,0.000005960,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003815,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000004292,0.000000715
16,2,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000000477
16,2,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000000477
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000000715
16,2,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000000715
32,2,SYMMETRY,MPI,REDUCE,0.000011921,0.000001192
32,2,TRANSPOSITION,MPI,SCATTER,0.000009060,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000005484,0.000001431
32,2,TRANSPOSITION,MPI,SCATTER,0.000006676,0.000000954
32,2,SYMMETRY,MPI,REDUCE,0.000005484,0.000001907
32,2,TRANSPOSITION,MPI,SCATTER,0.000006676,0.000000954
32,2,SYMMETRY,MPI,REDUCE,0.000005960,0.000001431
32,2,TRANSPOSITION,MPI,SCATTER,0.000006437,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000005722,0.000001669
32,2,TRANSPOSITION,MPI,SCATTER,0.000006437,0.000000954
32,2,TRANSPOSITION,MPI,SCATTER,0.000007629,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005722,0.000002146
32,2,TRANSPOSITION,MPI,SCATTER,0.000006676,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005960,0.000002146
32,2,TRANSPOSITION,MPI,SCATTER,0.000005722,0.000000954
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005484,0.000002384
32,2,TRANSPOSITION,MPI,SCATTER,0.000005960,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005245,0.000001907
32,2,TRANSPOSITION,MPI,SCATTER,0.000005484,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005722,0.000001907
64,2,SYMMETRY,MPI,REDUCE,0.000023365,0.000004768
64,2,TRANSPOSITION,MPI,SCATTER,0.000023603,0.000005245
64,2,SYMMETRY,MPI,REDUCE,0.000011206,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000014305,0.000004292
64,2,SYMMETRY,MPI,REDUCE,0.000013351,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000015497,0.000004292
64,2,SYMMETRY,MPI,REDUCE,0.000010967,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000014782,0.000004292
64,2,SYMMETRY,MPI,REDUCE,0.000012159,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000014782,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000013590,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000021219,0.000005722
64,2,TRANSPOSITION,MPI,SCATTER,0.000013828,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000017643,0.000005722
64,2,TRANSPOSITION,MPI,SCATTER,0.000014544,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000018120,0.000005960
64,2,TRANSPOSITION,MPI,SCATTER,0.000014782,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000019073,0.000005484
64,2,TRANSPOSITION,MPI,SCATTER,0.000014544,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000019073,0.000005722
128,2,SYMMETRY,MPI,REDUCE,0.000122786,0.000016928
128,2,TRANSPOSITION,MPI,SCATTER,0.000083923,0.000023365
128,2,SYMMETRY,MPI,REDUCE,0.000041246,0.000016928
128,2,TRANSPOSITION,MPI,SCATTER,0.000046730,0.000016451
128,2,SYMMETRY,MPI,REDUCE,0.000046730,0.000027180
128,2,TRANSPOSITION,MPI,SCATTER,0.000044584,0.000016689
128,2,SYMMETRY,MPI,REDUCE,0.000036955,0.000017166
128,2,TRANSPOSITION,MPI,SCATTER,0.000042677,0.000016689
128,2,SYMMETRY,MPI,REDUCE,0.000036240,0.000016928
128,2,TRANSPOSITION,MPI,SCATTER,0.000044107,0.000016689
128,2,TRANSPOSITION,MPI,SCATTER,0.000047684,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000067234,0.000021935
128,2,TRANSPOSITION,MPI,SCATTER,0.000042915,0.000016928
128,2,TRANSPOSITION,MPI,BROADCAST,0.000051975,0.000021935
128,2,TRANSPOSITION,MPI,SCATTER,0.000044107,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000051975,0.000021696
128,2,TRANSPOSITION,MPI,SCATTER,0.000043869,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000052929,0.000021696
128,2,TRANSPOSITION,MPI,SCATTER,0.000044107,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000052214,0.000021935
256,2,SYMMETRY,MPI,REDUCE,0.000260115,0.000066757
256,2,TRANSPOSITION,MPI,SCATTER,0.000333786,0.000214338
256,2,SYMMETRY,MPI,REDUCE,0.000114202,0.000066757
256,2,TRANSPOSITION,MPI,SCATTER,0.000321150,0.000205517
256,2,SYMMETRY,MPI,REDUCE,0.000105381,0.000066996
256,2,TRANSPOSITION,MPI,SCATTER,0.000310183,0.000193834
256,2,SYMMETRY,MPI,REDUCE,0.000105619,0.000066757
256,2,TRANSPOSITION,MPI,SCATTER,0.000316143,0.000204325
256,2,SYMMETRY,MPI,REDUCE,0.000107527,0.000066996
256,2,TRANSPOSITION,MPI,SCATTER,0.000324249,0.000210285
256,2,TRANSPOSITION,MPI,SCATTER,0.000301600,0.000204802
256,2,TRANSPOSITION,MPI,BROADCAST,0.000219584,0.000086784
256,2,TRANSPOSITION,MPI,SCATTER,0.000300407,0.000206947
256,2,TRANSPOSITION,MPI,BROADCAST,0.000179052,0.000087023
256,2,TRANSPOSITION,MPI,SCATTER,0.000292778,0.000205755
256,2,TRANSPOSITION,MPI,BROADCAST,0.000183344,0.000093222
256,2,TRANSPOSITION,MPI,SCATTER,0.000281811,0.000204563
256,2,TRANSPOSITION,MPI,BROADCAST,0.000170946,0.000086308
256,2,TRANSPOSITION,MPI,SCATTER,0.000255108,0.000162125
256,2,TRANSPOSITION,MPI,BROADCAST,0.000173807,0.000086308
512,2,SYMMETRY,MPI,REDUCE,0.000849724,0.000373602
512,2,TRANSPOSITION,MPI,SCATTER,0.001612663,0.001052856
512,2,SYMMETRY,MPI,REDUCE,0.000555277,0.000372648
512,2,TRANSPOSITION,MPI,SCATTER,0.001466990,0.001007080
512,2,SYMMETRY,MPI,REDUCE,0.000560760,0.000377655
512,2,TRANSPOSITION,MPI,SCATTER,0.001486540,0.001006365
512,2,SYMMETRY,MPI,REDUCE,0.000556469,0.000372887
512,2,TRANSPOSITION,MPI,SCATTER,0.001492262,0.001004934
512,2,SYMMETRY,MPI,REDUCE,0.000553608,0.000372410
512,2,TRANSPOSITION,MPI,SCATTER,0.001487017,0.001003504
512,2,TRANSPOSITION,MPI,SCATTER,0.001496077,0.001008987
512,2,TRANSPOSITION,MPI,BROADCAST,0.001149654,0.000694513
512,2,TRANSPOSITION,MPI,SCATTER,0.001394987,0.001002550
512,2,TRANSPOSITION,MPI,BROADCAST,0.001057863,0.000692368
512,2,TRANSPOSITION,MPI,SCATTER,0.001401901,0.001009226
512,2,TRANSPOSITION,MPI,BROADCAST,0.001058578,0.000692606
512,2,TRANSPOSITION,MPI,SCATTER,0.001397133,0.001001596
512,2,TRANSPOSITION,MPI,BROADCAST,0.001053333,0.000692129
512,2,TRANSPOSITION,MPI,SCATTER,0.001399040,0.001011133
512,2,TRANSPOSITION,MPI,BROADCAST,0.001060486,0.000687122
1024,2,SYMMETRY,MPI,REDUCE,0.004000187,0.002086163
1024,2,TRANSPOSITION,MPI,SCATTER,0.012040615,0.009529114
