Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time (total), Execution Time (no msg)
256,16,TRANSPOSITION,MPI,SCATTER,0.000175953
256,16,TRANSPOSITION,MPI,BROADCAST,0.000316620
256,16,TRANSPOSITION,MPI,SCATTER,0.000178099
256,16,TRANSPOSITION,MPI,BROADCAST,0.000308752
256,16,TRANSPOSITION,MPI,SCATTER,0.000189543
256,16,TRANSPOSITION,MPI,BROADCAST,0.000309229
256,16,TRANSPOSITION,MPI,SCATTER,0.000178337
256,16,TRANSPOSITION,MPI,BROADCAST,0.000313044
512,16,SYMMETRY,MPI,REDUCE,0.001738548
512,16,TRANSPOSITION,MPI,SCATTER,0.001262426
512,16,SYMMETRY,MPI,REDUCE,0.001272202
512,16,TRANSPOSITION,MPI,SCATTER,0.000624180
512,16,SYMMETRY,MPI,REDUCE,0.000817299
512,16,TRANSPOSITION,MPI,SCATTER,0.000621080
512,16,SYMMETRY,MPI,REDUCE,0.000811338
512,16,TRANSPOSITION,MPI,SCATTER,0.000633717
512,16,SYMMETRY,MPI,REDUCE,0.000812292
512,16,TRANSPOSITION,MPI,SCATTER,0.000626326
512,16,TRANSPOSITION,MPI,SCATTER,0.000694990
512,16,TRANSPOSITION,MPI,BROADCAST,0.001268148
512,16,TRANSPOSITION,MPI,SCATTER,0.000690460
512,16,TRANSPOSITION,MPI,BROADCAST,0.001102209
512,16,TRANSPOSITION,MPI,SCATTER,0.000689030
512,16,TRANSPOSITION,MPI,BROADCAST,0.001093149
512,16,TRANSPOSITION,MPI,SCATTER,0.000670910
512,16,TRANSPOSITION,MPI,BROADCAST,0.001087666
512,16,TRANSPOSITION,MPI,SCATTER,0.000690460
512,16,TRANSPOSITION,MPI,BROADCAST,0.001100540
1024,16,SYMMETRY,MPI,REDUCE,0.006706476
1024,16,TRANSPOSITION,MPI,SCATTER,0.003790140
1024,16,SYMMETRY,MPI,REDUCE,0.004952431
1024,16,TRANSPOSITION,MPI,SCATTER,0.002691507
1024,16,SYMMETRY,MPI,REDUCE,0.003102541
1024,16,TRANSPOSITION,MPI,SCATTER,0.002687931
1024,16,SYMMETRY,MPI,REDUCE,0.003208399
1024,16,TRANSPOSITION,MPI,SCATTER,0.002696991
1024,16,SYMMETRY,MPI,REDUCE,0.003237963
1024,16,TRANSPOSITION,MPI,SCATTER,0.002698421
1024,16,TRANSPOSITION,MPI,SCATTER,0.002696037
1024,16,TRANSPOSITION,MPI,BROADCAST,0.005316257
1024,16,TRANSPOSITION,MPI,SCATTER,0.002696514
1024,16,TRANSPOSITION,MPI,BROADCAST,0.004511356
1024,16,TRANSPOSITION,MPI,SCATTER,0.002676487
1024,16,TRANSPOSITION,MPI,BROADCAST,0.004642248
1024,16,TRANSPOSITION,MPI,SCATTER,0.002682686
1024,16,TRANSPOSITION,MPI,BROADCAST,0.004546642
1024,16,TRANSPOSITION,MPI,SCATTER,0.002700090
1024,16,TRANSPOSITION,MPI,BROADCAST,0.004567862
2048,16,SYMMETRY,MPI,REDUCE,0.026736021
2048,16,TRANSPOSITION,MPI,SCATTER,0.013676643
2048,16,SYMMETRY,MPI,REDUCE,0.025305271
2048,16,TRANSPOSITION,MPI,SCATTER,0.012803793
2048,16,SYMMETRY,MPI,REDUCE,0.014634132
2048,16,TRANSPOSITION,MPI,SCATTER,0.012755394
2048,16,SYMMETRY,MPI,REDUCE,0.019657612
2048,16,TRANSPOSITION,MPI,SCATTER,0.013205528
2048,16,SYMMETRY,MPI,REDUCE,0.013458967
2048,16,TRANSPOSITION,MPI,SCATTER,0.012742519
2048,16,TRANSPOSITION,MPI,SCATTER,0.012426376
2048,16,TRANSPOSITION,MPI,BROADCAST,0.024420500
2048,16,TRANSPOSITION,MPI,SCATTER,0.012475729
2048,16,TRANSPOSITION,MPI,BROADCAST,0.021535397
2048,16,TRANSPOSITION,MPI,SCATTER,0.012469530
2048,16,TRANSPOSITION,MPI,BROADCAST,0.021394014
2048,16,TRANSPOSITION,MPI,SCATTER,0.013218880
2048,16,TRANSPOSITION,MPI,BROADCAST,0.025805473
2048,16,TRANSPOSITION,MPI,SCATTER,0.012451172
2048,16,TRANSPOSITION,MPI,BROADCAST,0.021483421
4096,16,SYMMETRY,MPI,REDUCE,0.140717268
4096,16,TRANSPOSITION,MPI,SCATTER,0.070370913
4096,16,SYMMETRY,MPI,REDUCE,0.138689280
4096,16,TRANSPOSITION,MPI,SCATTER,0.078351021
4096,16,SYMMETRY,MPI,REDUCE,0.141291857
4096,16,TRANSPOSITION,MPI,SCATTER,0.069372416
4096,16,SYMMETRY,MPI,REDUCE,0.140999556
4096,16,TRANSPOSITION,MPI,SCATTER,0.069570780
4096,16,SYMMETRY,MPI,REDUCE,0.139703512
4096,16,TRANSPOSITION,MPI,SCATTER,0.072373629
4096,16,TRANSPOSITION,MPI,SCATTER,0.059679270
4096,16,TRANSPOSITION,MPI,BROADCAST,0.177317142
4096,16,TRANSPOSITION,MPI,SCATTER,0.064286709
4096,16,TRANSPOSITION,MPI,BROADCAST,0.178517818
4096,16,TRANSPOSITION,MPI,SCATTER,0.060358763
