Matrix Size,Function,Implementation,Execution Time
128,SYMMETRY,SEQUENTIAL,0.000024773
128,TRANSPOSITION,SEQUENTIAL,0.000070646
128,SYMMETRY,SEQUENTIAL,0.000029005
128,TRANSPOSITION,SEQUENTIAL,0.000050656
128,SYMMETRY,SEQUENTIAL,0.000030048
128,TRANSPOSITION,SEQUENTIAL,0.000053912
128,SYMMETRY,SEQUENTIAL,0.000029914
128,TRANSPOSITION,SEQUENTIAL,0.000052534
128,SYMMETRY,SEQUENTIAL,0.000028886
128,TRANSPOSITION,SEQUENTIAL,0.000052154
128,TRANSPOSITION,SEQUENTIAL,0.000052646
128,TRANSPOSITION,SEQUENTIAL,0.000052653
128,TRANSPOSITION,SEQUENTIAL,0.000053525
128,TRANSPOSITION,SEQUENTIAL,0.000049680
128,TRANSPOSITION,SEQUENTIAL,0.000049055
256,SYMMETRY,SEQUENTIAL,0.000118472
256,TRANSPOSITION,SEQUENTIAL,0.000606835
256,SYMMETRY,SEQUENTIAL,0.000131197
256,TRANSPOSITION,SEQUENTIAL,0.000409462
256,SYMMETRY,SEQUENTIAL,0.000127085
256,TRANSPOSITION,SEQUENTIAL,0.000442892
256,SYMMETRY,SEQUENTIAL,0.000120185
256,TRANSPOSITION,SEQUENTIAL,0.000453949
256,SYMMETRY,SEQUENTIAL,0.000118293
256,TRANSPOSITION,SEQUENTIAL,0.000471331
256,TRANSPOSITION,SEQUENTIAL,0.000383444
256,TRANSPOSITION,SEQUENTIAL,0.000471741
256,TRANSPOSITION,SEQUENTIAL,0.000411279
256,TRANSPOSITION,SEQUENTIAL,0.000490442
256,TRANSPOSITION,SEQUENTIAL,0.000419788
512,SYMMETRY,SEQUENTIAL,0.000602528
512,TRANSPOSITION,SEQUENTIAL,0.003832869
512,SYMMETRY,SEQUENTIAL,0.000624053
512,TRANSPOSITION,SEQUENTIAL,0.008211844
512,SYMMETRY,SEQUENTIAL,0.000585608
512,TRANSPOSITION,SEQUENTIAL,0.003305361
512,SYMMETRY,SEQUENTIAL,0.000603259
512,TRANSPOSITION,SEQUENTIAL,0.003262535
512,SYMMETRY,SEQUENTIAL,0.000617094
512,TRANSPOSITION,SEQUENTIAL,0.003225841
512,TRANSPOSITION,SEQUENTIAL,0.003208496
512,TRANSPOSITION,SEQUENTIAL,0.003186658
512,TRANSPOSITION,SEQUENTIAL,0.003165416
512,TRANSPOSITION,SEQUENTIAL,0.003217563
512,TRANSPOSITION,SEQUENTIAL,0.003161833
1024,SYMMETRY,SEQUENTIAL,0.003509559
1024,TRANSPOSITION,SEQUENTIAL,0.023833081
1024,SYMMETRY,SEQUENTIAL,0.003470175
1024,TRANSPOSITION,SEQUENTIAL,0.027136110
1024,SYMMETRY,SEQUENTIAL,0.003497072
1024,TRANSPOSITION,SEQUENTIAL,0.023386277
1024,SYMMETRY,SEQUENTIAL,0.003440097
1024,TRANSPOSITION,SEQUENTIAL,0.023828447
1024,SYMMETRY,SEQUENTIAL,0.003410026
1024,TRANSPOSITION,SEQUENTIAL,0.023727112
1024,TRANSPOSITION,SEQUENTIAL,0.022866420
1024,TRANSPOSITION,SEQUENTIAL,0.023791976
1024,TRANSPOSITION,SEQUENTIAL,0.024944521
1024,TRANSPOSITION,SEQUENTIAL,0.023290932
1024,TRANSPOSITION,SEQUENTIAL,0.025024265
2048,SYMMETRY,SEQUENTIAL,0.015880831
2048,TRANSPOSITION,SEQUENTIAL,0.103249125
2048,SYMMETRY,SEQUENTIAL,0.015150450
2048,TRANSPOSITION,SEQUENTIAL,0.098579526
2048,SYMMETRY,SEQUENTIAL,0.015021451
2048,TRANSPOSITION,SEQUENTIAL,0.099785410
2048,SYMMETRY,SEQUENTIAL,0.027670532
2048,TRANSPOSITION,SEQUENTIAL,0.204032637
2048,SYMMETRY,SEQUENTIAL,0.016547501
2048,TRANSPOSITION,SEQUENTIAL,0.128406651
2048,TRANSPOSITION,SEQUENTIAL,0.110003479
2048,TRANSPOSITION,SEQUENTIAL,0.112020142
2048,TRANSPOSITION,SEQUENTIAL,0.115800023
2048,TRANSPOSITION,SEQUENTIAL,0.117069498
2048,TRANSPOSITION,SEQUENTIAL,0.114082158
4096,SYMMETRY,SEQUENTIAL,0.307071723
4096,TRANSPOSITION,SEQUENTIAL,0.424396887
4096,SYMMETRY,SEQUENTIAL,0.192388900
4096,TRANSPOSITION,SEQUENTIAL,0.606721908
4096,SYMMETRY,SEQUENTIAL,0.151667483
4096,TRANSPOSITION,SEQUENTIAL,0.657626294
4096,SYMMETRY,SEQUENTIAL,0.152094945
4096,TRANSPOSITION,SEQUENTIAL,0.656329021
4096,SYMMETRY,SEQUENTIAL,0.154922090
4096,TRANSPOSITION,SEQUENTIAL,0.645751953
4096,TRANSPOSITION,SEQUENTIAL,0.614671640
4096,TRANSPOSITION,SEQUENTIAL,0.988396674
4096,TRANSPOSITION,SEQUENTIAL,0.940745734
4096,TRANSPOSITION,SEQUENTIAL,0.947459415
4096,TRANSPOSITION,SEQUENTIAL,0.955090329
128,SYMMETRY,SEQUENTIAL,0.000031225
128,TRANSPOSITION,SEQUENTIAL,0.000062667
128,SYMMETRY,SEQUENTIAL,0.000030041
128,TRANSPOSITION,SEQUENTIAL,0.000051945
128,SYMMETRY,SEQUENTIAL,0.000030048
128,TRANSPOSITION,SEQUENTIAL,0.000051886
128,SYMMETRY,SEQUENTIAL,0.000029840
128,TRANSPOSITION,SEQUENTIAL,0.000051819
128,SYMMETRY,SEQUENTIAL,0.000030339
128,TRANSPOSITION,SEQUENTIAL,0.000053279
128,TRANSPOSITION,SEQUENTIAL,0.000052482
128,TRANSPOSITION,SEQUENTIAL,0.000050522
128,TRANSPOSITION,SEQUENTIAL,0.000052087
128,TRANSPOSITION,SEQUENTIAL,0.000052005
128,TRANSPOSITION,SEQUENTIAL,0.000048183
256,SYMMETRY,SEQUENTIAL,0.000106812
256,TRANSPOSITION,SEQUENTIAL,0.000458285
256,SYMMETRY,SEQUENTIAL,0.000110440
256,TRANSPOSITION,SEQUENTIAL,0.000383534
256,SYMMETRY,SEQUENTIAL,0.000115983
256,TRANSPOSITION,SEQUENTIAL,0.000432186
256,SYMMETRY,SEQUENTIAL,0.000118583
256,TRANSPOSITION,SEQUENTIAL,0.000409305
256,SYMMETRY,SEQUENTIAL,0.000114329
256,TRANSPOSITION,SEQUENTIAL,0.000412986
256,TRANSPOSITION,SEQUENTIAL,0.000413172
256,TRANSPOSITION,SEQUENTIAL,0.000411958
256,TRANSPOSITION,SEQUENTIAL,0.000427179
256,TRANSPOSITION,SEQUENTIAL,0.000406727
256,TRANSPOSITION,SEQUENTIAL,0.000463091
512,SYMMETRY,SEQUENTIAL,0.000629194
512,TRANSPOSITION,SEQUENTIAL,0.004050523
512,SYMMETRY,SEQUENTIAL,0.000640877
512,TRANSPOSITION,SEQUENTIAL,0.003508806
512,SYMMETRY,SEQUENTIAL,0.000638112
512,TRANSPOSITION,SEQUENTIAL,0.003465474
512,SYMMETRY,SEQUENTIAL,0.000638343
512,TRANSPOSITION,SEQUENTIAL,0.003435321
512,SYMMETRY,SEQUENTIAL,0.000635184
512,TRANSPOSITION,SEQUENTIAL,0.003429197
512,TRANSPOSITION,SEQUENTIAL,0.003403522
512,TRANSPOSITION,SEQUENTIAL,0.003479041
512,TRANSPOSITION,SEQUENTIAL,0.003445379
512,TRANSPOSITION,SEQUENTIAL,0.003475033
512,TRANSPOSITION,SEQUENTIAL,0.003451154
1024,SYMMETRY,SEQUENTIAL,0.003668033
1024,TRANSPOSITION,SEQUENTIAL,0.024403900
1024,SYMMETRY,SEQUENTIAL,0.003711089
1024,TRANSPOSITION,SEQUENTIAL,0.022980481
1024,SYMMETRY,SEQUENTIAL,0.003734782
1024,TRANSPOSITION,SEQUENTIAL,0.022912130
1024,SYMMETRY,SEQUENTIAL,0.003644854
1024,TRANSPOSITION,SEQUENTIAL,0.022720277
1024,SYMMETRY,SEQUENTIAL,0.003739581
1024,TRANSPOSITION,SEQUENTIAL,0.022852845
1024,TRANSPOSITION,SEQUENTIAL,0.022885427
1024,TRANSPOSITION,SEQUENTIAL,0.024536833
1024,TRANSPOSITION,SEQUENTIAL,0.024026416
1024,TRANSPOSITION,SEQUENTIAL,0.022021659
1024,TRANSPOSITION,SEQUENTIAL,0.023991719
2048,SYMMETRY,SEQUENTIAL,0.017469190
2048,TRANSPOSITION,SEQUENTIAL,0.100900993
2048,SYMMETRY,SEQUENTIAL,0.029421516
2048,TRANSPOSITION,SEQUENTIAL,0.196025476
2048,SYMMETRY,SEQUENTIAL,0.016305842
2048,TRANSPOSITION,SEQUENTIAL,0.090825610
2048,SYMMETRY,SEQUENTIAL,0.016353741
2048,TRANSPOSITION,SEQUENTIAL,0.090528563
2048,SYMMETRY,SEQUENTIAL,0.042534053
2048,TRANSPOSITION,SEQUENTIAL,0.183673233
2048,TRANSPOSITION,SEQUENTIAL,0.166408092
2048,TRANSPOSITION,SEQUENTIAL,0.180230372
2048,TRANSPOSITION,SEQUENTIAL,0.098063298
2048,TRANSPOSITION,SEQUENTIAL,0.095919453
2048,TRANSPOSITION,SEQUENTIAL,0.096709177
4096,SYMMETRY,SEQUENTIAL,0.158994250
4096,TRANSPOSITION,SEQUENTIAL,1.277417116
4096,SYMMETRY,SEQUENTIAL,0.237607673
4096,TRANSPOSITION,SEQUENTIAL,1.886874840
4096,SYMMETRY,SEQUENTIAL,0.239711441
4096,TRANSPOSITION,SEQUENTIAL,1.893746004
4096,SYMMETRY,SEQUENTIAL,0.240156278
4096,TRANSPOSITION,SEQUENTIAL,1.916476347
4096,SYMMETRY,SEQUENTIAL,0.236131847
4096,TRANSPOSITION,SEQUENTIAL,1.858293995
4096,TRANSPOSITION,SEQUENTIAL,1.829730116
4096,TRANSPOSITION,SEQUENTIAL,3.096540540
4096,TRANSPOSITION,SEQUENTIAL,3.058784060
4096,TRANSPOSITION,SEQUENTIAL,6.212100290
4096,TRANSPOSITION,SEQUENTIAL,5.939938858
128,SYMMETRY,SEQUENTIAL,0.000031240
128,TRANSPOSITION,SEQUENTIAL,0.000064723
128,SYMMETRY,SEQUENTIAL,0.000028968
128,TRANSPOSITION,SEQUENTIAL,0.000065096
128,SYMMETRY,SEQUENTIAL,0.000030033
128,TRANSPOSITION,SEQUENTIAL,0.000068158
128,SYMMETRY,SEQUENTIAL,0.000030018
128,TRANSPOSITION,SEQUENTIAL,0.000052005
128,SYMMETRY,SEQUENTIAL,0.000030003
128,TRANSPOSITION,SEQUENTIAL,0.000051908
128,TRANSPOSITION,SEQUENTIAL,0.000050098
128,TRANSPOSITION,SEQUENTIAL,0.000050150
128,TRANSPOSITION,SEQUENTIAL,0.000053607
128,TRANSPOSITION,SEQUENTIAL,0.000050142
128,TRANSPOSITION,SEQUENTIAL,0.000047594
256,SYMMETRY,SEQUENTIAL,0.000110425
256,TRANSPOSITION,SEQUENTIAL,0.000468135
256,SYMMETRY,SEQUENTIAL,0.000118539
256,TRANSPOSITION,SEQUENTIAL,0.000422411
256,SYMMETRY,SEQUENTIAL,0.000114404
256,TRANSPOSITION,SEQUENTIAL,0.000433810
256,SYMMETRY,SEQUENTIAL,0.000110343
256,TRANSPOSITION,SEQUENTIAL,0.000380643
256,SYMMETRY,SEQUENTIAL,0.000120200
256,TRANSPOSITION,SEQUENTIAL,0.000448942
256,TRANSPOSITION,SEQUENTIAL,0.000384808
256,TRANSPOSITION,SEQUENTIAL,0.000382751
256,TRANSPOSITION,SEQUENTIAL,0.000407323
256,TRANSPOSITION,SEQUENTIAL,0.000416420
256,TRANSPOSITION,SEQUENTIAL,0.000448801
512,SYMMETRY,SEQUENTIAL,0.000633270
512,TRANSPOSITION,SEQUENTIAL,0.003925741
512,SYMMETRY,SEQUENTIAL,0.000628792
512,TRANSPOSITION,SEQUENTIAL,0.003498286
512,SYMMETRY,SEQUENTIAL,0.000648126
512,TRANSPOSITION,SEQUENTIAL,0.003301241
512,SYMMETRY,SEQUENTIAL,0.000648201
512,TRANSPOSITION,SEQUENTIAL,0.003311142
512,SYMMETRY,SEQUENTIAL,0.000656195
512,TRANSPOSITION,SEQUENTIAL,0.003362589
512,TRANSPOSITION,SEQUENTIAL,0.003034987
512,TRANSPOSITION,SEQUENTIAL,0.003373504
512,TRANSPOSITION,SEQUENTIAL,0.003351003
512,TRANSPOSITION,SEQUENTIAL,0.003313117
512,TRANSPOSITION,SEQUENTIAL,0.003352560
1024,SYMMETRY,SEQUENTIAL,0.003948875
1024,TRANSPOSITION,SEQUENTIAL,0.026616804
1024,SYMMETRY,SEQUENTIAL,0.003888212
1024,TRANSPOSITION,SEQUENTIAL,0.025695823
1024,SYMMETRY,SEQUENTIAL,0.004026085
1024,TRANSPOSITION,SEQUENTIAL,0.026136085
1024,SYMMETRY,SEQUENTIAL,0.003963321
1024,TRANSPOSITION,SEQUENTIAL,0.025881611
1024,SYMMETRY,SEQUENTIAL,0.003937334
1024,TRANSPOSITION,SEQUENTIAL,0.025641002
1024,TRANSPOSITION,SEQUENTIAL,0.026137918
1024,TRANSPOSITION,SEQUENTIAL,0.025957860
1024,TRANSPOSITION,SEQUENTIAL,0.026950084
1024,TRANSPOSITION,SEQUENTIAL,0.025922671
1024,TRANSPOSITION,SEQUENTIAL,0.026591375
2048,SYMMETRY,SEQUENTIAL,0.016326889
2048,TRANSPOSITION,SEQUENTIAL,0.116721742
2048,SYMMETRY,SEQUENTIAL,0.030106880
2048,TRANSPOSITION,SEQUENTIAL,0.207841739
2048,SYMMETRY,SEQUENTIAL,0.029306732
2048,TRANSPOSITION,SEQUENTIAL,0.207578346
2048,SYMMETRY,SEQUENTIAL,0.029295079
2048,TRANSPOSITION,SEQUENTIAL,0.200977258
2048,SYMMETRY,SEQUENTIAL,0.018879496
2048,TRANSPOSITION,SEQUENTIAL,0.122809678
2048,TRANSPOSITION,SEQUENTIAL,0.101550803
2048,TRANSPOSITION,SEQUENTIAL,0.105149858
2048,TRANSPOSITION,SEQUENTIAL,0.106747180
2048,TRANSPOSITION,SEQUENTIAL,0.106563956
2048,TRANSPOSITION,SEQUENTIAL,0.107898436
4096,SYMMETRY,SEQUENTIAL,0.131634183
4096,TRANSPOSITION,SEQUENTIAL,0.438374385
4096,SYMMETRY,SEQUENTIAL,0.151350141
4096,TRANSPOSITION,SEQUENTIAL,0.580284461
4096,SYMMETRY,SEQUENTIAL,0.150806256
4096,TRANSPOSITION,SEQUENTIAL,0.552703373
4096,SYMMETRY,SEQUENTIAL,0.151284546
4096,TRANSPOSITION,SEQUENTIAL,0.546213962
4096,SYMMETRY,SEQUENTIAL,0.523981243
4096,TRANSPOSITION,SEQUENTIAL,1.618354499
4096,TRANSPOSITION,SEQUENTIAL,0.852101550
4096,TRANSPOSITION,SEQUENTIAL,0.599723257
4096,TRANSPOSITION,SEQUENTIAL,0.594312757
4096,TRANSPOSITION,SEQUENTIAL,1.577183947
4096,TRANSPOSITION,SEQUENTIAL,1.509859391
128,SYMMETRY,SEQUENTIAL,0.000030197
128,TRANSPOSITION,SEQUENTIAL,0.000069655
128,SYMMETRY,SEQUENTIAL,0.000047401
128,TRANSPOSITION,SEQUENTIAL,0.000052273
128,SYMMETRY,SEQUENTIAL,0.000026986
128,TRANSPOSITION,SEQUENTIAL,0.000047810
128,SYMMETRY,SEQUENTIAL,0.000030056
128,TRANSPOSITION,SEQUENTIAL,0.000053771
128,SYMMETRY,SEQUENTIAL,0.000029966
128,TRANSPOSITION,SEQUENTIAL,0.000053234
128,TRANSPOSITION,SEQUENTIAL,0.000048734
128,TRANSPOSITION,SEQUENTIAL,0.000052534
128,TRANSPOSITION,SEQUENTIAL,0.000053801
128,TRANSPOSITION,SEQUENTIAL,0.000049412
128,TRANSPOSITION,SEQUENTIAL,0.000050619
256,SYMMETRY,SEQUENTIAL,0.000127785
256,TRANSPOSITION,SEQUENTIAL,0.000566438
256,SYMMETRY,SEQUENTIAL,0.000106625
