Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
32,32,SYMMETRY,MPI,REDUCE,0.006243467,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000672579,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000030279,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000041008,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000028849,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000235558,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000035048,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000024557,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000028849,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000023842,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000024080,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000020504,0.000001192
32,32,TRANSPOSITION,MPI,SCATTER,0.000034332,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000024080,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000023842,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000022650,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000025034,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000022411,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000025034,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000023127,0.000000715
64,32,SYMMETRY,MPI,REDUCE,0.000160933,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000069618,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000054359,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000030994,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000053406,0.000001192
64,32,TRANSPOSITION,MPI,SCATTER,0.000031710,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000055552,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000031471,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000061035,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000032425,0.000000477
64,32,TRANSPOSITION,MPI,SCATTER,0.000029802,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000051498,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000031233,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000051022,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000031710,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000050068,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000030518,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000051975,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000033379,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000050545,0.000000715
128,32,SYMMETRY,MPI,REDUCE,0.000657558,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000162601,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000225544,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000065565,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000133276,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000063181,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000135899,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000062466,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000125647,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000063419,0.000001431
128,32,TRANSPOSITION,MPI,SCATTER,0.000065804,0.000001431
128,32,TRANSPOSITION,MPI,BROADCAST,0.000150442,0.000001669
128,32,TRANSPOSITION,MPI,SCATTER,0.000061989,0.000001431
128,32,TRANSPOSITION,MPI,BROADCAST,0.000146389,0.000001669
128,32,TRANSPOSITION,MPI,SCATTER,0.000064850,0.000001431
128,32,TRANSPOSITION,MPI,BROADCAST,0.000146866,0.000001669
128,32,TRANSPOSITION,MPI,SCATTER,0.000063419,0.000001431
128,32,TRANSPOSITION,MPI,BROADCAST,0.000147343,0.000001669
128,32,TRANSPOSITION,MPI,SCATTER,0.000065088,0.000001431
128,32,TRANSPOSITION,MPI,BROADCAST,0.000142574,0.000001907
256,32,SYMMETRY,MPI,REDUCE,0.001240492,0.000007153
256,32,TRANSPOSITION,MPI,SCATTER,0.000360012,0.000006676
256,32,SYMMETRY,MPI,REDUCE,0.000520945,0.000007153
256,32,TRANSPOSITION,MPI,SCATTER,0.000160456,0.000005484
256,32,SYMMETRY,MPI,REDUCE,0.000361681,0.000006914
256,32,TRANSPOSITION,MPI,SCATTER,0.000155210,0.000005484
256,32,SYMMETRY,MPI,REDUCE,0.000344515,0.000006914
256,32,TRANSPOSITION,MPI,SCATTER,0.000172615,0.000005484
256,32,SYMMETRY,MPI,REDUCE,0.000323534,0.000006914
256,32,TRANSPOSITION,MPI,SCATTER,0.000152349,0.000005245
256,32,TRANSPOSITION,MPI,SCATTER,0.000175238,0.000005245
256,32,TRANSPOSITION,MPI,BROADCAST,0.000467062,0.000006437
256,32,TRANSPOSITION,MPI,SCATTER,0.000177145,0.000005484
256,32,TRANSPOSITION,MPI,BROADCAST,0.000419855,0.000006199
256,32,TRANSPOSITION,MPI,SCATTER,0.000196695,0.000005245
256,32,TRANSPOSITION,MPI,BROADCAST,0.000406742,0.000006199
256,32,TRANSPOSITION,MPI,SCATTER,0.000180244,0.000005484
256,32,TRANSPOSITION,MPI,BROADCAST,0.000411272,0.000006199
256,32,TRANSPOSITION,MPI,SCATTER,0.000180483,0.000005245
256,32,TRANSPOSITION,MPI,BROADCAST,0.000431299,0.000005960
512,32,SYMMETRY,MPI,REDUCE,0.003543615,0.000042677
512,32,TRANSPOSITION,MPI,SCATTER,0.001052618,0.000020742
512,32,SYMMETRY,MPI,REDUCE,0.003086329,0.000042439
512,32,TRANSPOSITION,MPI,SCATTER,0.000563860,0.000019550
512,32,SYMMETRY,MPI,REDUCE,0.002986431,0.000043392
512,32,TRANSPOSITION,MPI,SCATTER,0.000553370,0.000019312
512,32,SYMMETRY,MPI,REDUCE,0.002949238,0.000050068
512,32,TRANSPOSITION,MPI,SCATTER,0.000550985,0.000019550
512,32,SYMMETRY,MPI,REDUCE,0.002808094,0.000042915
512,32,TRANSPOSITION,MPI,SCATTER,0.000560045,0.000019312
512,32,TRANSPOSITION,MPI,SCATTER,0.000669479,0.000019550
512,32,TRANSPOSITION,MPI,BROADCAST,0.002559900,0.000039816
512,32,TRANSPOSITION,MPI,SCATTER,0.000660419,0.000018835
512,32,TRANSPOSITION,MPI,BROADCAST,0.001577616,0.000039577
512,32,TRANSPOSITION,MPI,SCATTER,0.000662327,0.000019073
512,32,TRANSPOSITION,MPI,BROADCAST,0.001378298,0.000040531
512,32,TRANSPOSITION,MPI,SCATTER,0.000665188,0.000018835
512,32,TRANSPOSITION,MPI,BROADCAST,0.001277924,0.000040054
512,32,TRANSPOSITION,MPI,SCATTER,0.000653982,0.000019550
512,32,TRANSPOSITION,MPI,BROADCAST,0.001262903,0.000039816
1024,32,SYMMETRY,MPI,REDUCE,0.008438587,0.000219345
1024,32,TRANSPOSITION,MPI,SCATTER,0.005670547,0.000334740
1024,32,SYMMETRY,MPI,REDUCE,0.006428242,0.000219107
1024,32,TRANSPOSITION,MPI,SCATTER,0.002842903,0.000295639
1024,32,SYMMETRY,MPI,REDUCE,0.003579617,0.000217676
1024,32,TRANSPOSITION,MPI,SCATTER,0.002705574,0.000292778
1024,32,SYMMETRY,MPI,REDUCE,0.003696680,0.000209570
1024,32,TRANSPOSITION,MPI,SCATTER,0.002689838,0.000296354
1024,32,SYMMETRY,MPI,REDUCE,0.003636837,0.000227928
1024,32,TRANSPOSITION,MPI,SCATTER,0.002681732,0.000293732
1024,32,TRANSPOSITION,MPI,SCATTER,0.002747059,0.000295639
1024,32,TRANSPOSITION,MPI,BROADCAST,0.005829811,0.000200987
1024,32,TRANSPOSITION,MPI,SCATTER,0.002752542,0.000295877
1024,32,TRANSPOSITION,MPI,BROADCAST,0.005038261,0.000201464
1024,32,TRANSPOSITION,MPI,SCATTER,0.002745867,0.000293493
1024,32,TRANSPOSITION,MPI,BROADCAST,0.005043745,0.000214338
1024,32,TRANSPOSITION,MPI,SCATTER,0.002753973,0.000295639
1024,32,TRANSPOSITION,MPI,BROADCAST,0.004958868,0.000212669
1024,32,TRANSPOSITION,MPI,SCATTER,0.002655268,0.000296354
1024,32,TRANSPOSITION,MPI,BROADCAST,0.005006313,0.000212431
2048,32,SYMMETRY,MPI,REDUCE,0.031060934,0.002191544
2048,32,TRANSPOSITION,MPI,SCATTER,0.016453266,0.001411676
2048,32,SYMMETRY,MPI,REDUCE,0.029536486,0.002129078
2048,32,TRANSPOSITION,MPI,SCATTER,0.013881207,0.001208544
2048,32,SYMMETRY,MPI,REDUCE,0.018825293,0.002255917
2048,32,TRANSPOSITION,MPI,SCATTER,0.013680458,0.001232624
2048,32,SYMMETRY,MPI,REDUCE,0.032776833,0.002002478
2048,32,TRANSPOSITION,MPI,SCATTER,0.014077425,0.001279116
2048,32,SYMMETRY,MPI,REDUCE,0.018024445,0.001818895
2048,32,TRANSPOSITION,MPI,SCATTER,0.013800859,0.001229763
2048,32,TRANSPOSITION,MPI,SCATTER,0.011785269,0.001220226
2048,32,TRANSPOSITION,MPI,BROADCAST,0.029547930,0.002249956
2048,32,TRANSPOSITION,MPI,SCATTER,0.012097120,0.001218081
2048,32,TRANSPOSITION,MPI,BROADCAST,0.028808832,0.002190828
2048,32,TRANSPOSITION,MPI,SCATTER,0.011914253,0.001221657
2048,32,TRANSPOSITION,MPI,BROADCAST,0.028940439,0.002101421
2048,32,TRANSPOSITION,MPI,SCATTER,0.012995243,0.001219988
2048,32,TRANSPOSITION,MPI,BROADCAST,0.033689499,0.002030611
2048,32,TRANSPOSITION,MPI,SCATTER,0.011740208,0.001224995
2048,32,TRANSPOSITION,MPI,BROADCAST,0.028691292,0.002135277
4096,32,SYMMETRY,MPI,REDUCE,0.138008595,0.014325857
4096,32,TRANSPOSITION,MPI,SCATTER,0.099306822,0.007277966
4096,32,SYMMETRY,MPI,REDUCE,0.133985758,0.010560036
4096,32,TRANSPOSITION,MPI,SCATTER,0.065148592,0.006535530
4096,32,SYMMETRY,MPI,REDUCE,0.135467768,0.010350943
4096,32,TRANSPOSITION,MPI,SCATTER,0.061957359,0.006519556
4096,32,SYMMETRY,MPI,REDUCE,0.135028362,0.010379314
4096,32,TRANSPOSITION,MPI,SCATTER,0.064444304,0.006479263
4096,32,SYMMETRY,MPI,REDUCE,0.135936499,0.010514736
4096,32,TRANSPOSITION,MPI,SCATTER,0.063756943,0.005965948
4096,32,TRANSPOSITION,MPI,SCATTER,0.050617933,0.006505489
4096,32,TRANSPOSITION,MPI,BROADCAST,0.163485289,0.008663177
4096,32,TRANSPOSITION,MPI,SCATTER,0.050993919,0.005961180
4096,32,TRANSPOSITION,MPI,BROADCAST,0.165725231,0.009534359
4096,32,TRANSPOSITION,MPI,SCATTER,0.051803350,0.005915880
4096,32,TRANSPOSITION,MPI,BROADCAST,0.166946650,0.009487629
4096,32,TRANSPOSITION,MPI,SCATTER,0.061630249,0.006450653
4096,32,TRANSPOSITION,MPI,BROADCAST,0.162142992,0.008774757
4096,32,TRANSPOSITION,MPI,SCATTER,0.054048777,0.005902767
4096,32,TRANSPOSITION,MPI,BROADCAST,0.164738894,0.010141373
32,32,SYMMETRY,MPI,REDUCE,0.000067472,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000047207,0.000000000
