Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,4,SYMMETRY,MPI,REDUCE,0.000125885,0.000000238
16,4,TRANSPOSITION,MPI,SCATTER,0.000082731,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000017405,0.000000477
16,4,TRANSPOSITION,MPI,SCATTER,0.000011683,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000014305,0.000000477
16,4,TRANSPOSITION,MPI,SCATTER,0.000334024,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000009298,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000006914,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000014782,0.000000477
16,4,TRANSPOSITION,MPI,SCATTER,0.000007153,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000012159,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000005007,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000012398,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000010014,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000011206,0.000000477
16,4,TRANSPOSITION,MPI,SCATTER,0.000006199,0.000000000
16,4,SYMMETRY,MPI,REDUCE,0.000010014,0.000000477
16,4,TRANSPOSITION,MPI,SCATTER,0.000005245,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000009298,0.000000954
16,4,TRANSPOSITION,MPI,SCATTER,0.000004768,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000009060,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000005245,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000010014,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000005007,0.000000238
16,4,SYMMETRY,MPI,REDUCE,0.000009298,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000005722,0.000000000
16,4,SYMMETRY,MPI,REDUCE,0.000010014,0.000000715
16,4,TRANSPOSITION,MPI,SCATTER,0.000005007,0.000000238
