Matrix Size,Threads,Function,Implementation,Execution Time
16,2,SYMMETRY,OMP,0.000237145
16,2,TRANSPOSITION,OMP,0.000012867
16,2,SYMMETRY,OMP,0.000020914
16,2,TRANSPOSITION,OMP,0.000011757
16,2,SYMMETRY,OMP,0.000020988
16,2,TRANSPOSITION,OMP,0.000009440
16,2,SYMMETRY,OMP,0.000021905
16,2,TRANSPOSITION,OMP,0.000011258
16,2,SYMMETRY,OMP,0.000021659
16,2,TRANSPOSITION,OMP,0.000013784
16,2,TRANSPOSITION,OMP,0.000013053
16,2,TRANSPOSITION,OMP,0.000011921
16,2,TRANSPOSITION,OMP,0.000011533
16,2,TRANSPOSITION,OMP,0.000005819
16,2,TRANSPOSITION,OMP,0.000014871
32,2,SYMMETRY,OMP,0.000041589
32,2,TRANSPOSITION,OMP,0.000017531
32,2,SYMMETRY,OMP,0.000023529
32,2,TRANSPOSITION,OMP,0.000026114
32,2,SYMMETRY,OMP,0.000024125
32,2,TRANSPOSITION,OMP,0.000023730
32,2,SYMMETRY,OMP,0.000023365
32,2,TRANSPOSITION,OMP,0.000025168
32,2,SYMMETRY,OMP,0.000023074
32,2,TRANSPOSITION,OMP,0.000031322
32,2,TRANSPOSITION,OMP,0.000028677
32,2,TRANSPOSITION,OMP,0.000030883
32,2,TRANSPOSITION,OMP,0.000029415
32,2,TRANSPOSITION,OMP,0.000031002
32,2,TRANSPOSITION,OMP,0.000026584
64,2,SYMMETRY,OMP,0.000045046
64,2,TRANSPOSITION,OMP,0.000049539
64,2,SYMMETRY,OMP,0.000048481
64,2,TRANSPOSITION,OMP,0.000056140
64,2,SYMMETRY,OMP,0.000045598
64,2,TRANSPOSITION,OMP,0.000050142
64,2,SYMMETRY,OMP,0.000044130
64,2,TRANSPOSITION,OMP,0.000051185
64,2,SYMMETRY,OMP,0.000046194
64,2,TRANSPOSITION,OMP,0.000051752
64,2,TRANSPOSITION,OMP,0.000054069
64,2,TRANSPOSITION,OMP,0.000050463
