Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
16,1,SYMMETRY,SEQUENTIAL,0.000002243
16,1,TRANSPOSITION,SEQUENTIAL,0.000002339
16,1,SYMMETRY,SEQUENTIAL,0.000000492
16,1,TRANSPOSITION,SEQUENTIAL,0.000000596
16,1,SYMMETRY,SEQUENTIAL,0.000000492
16,1,TRANSPOSITION,SEQUENTIAL,0.000000611
16,1,SYMMETRY,SEQUENTIAL,0.000000402
16,1,TRANSPOSITION,SEQUENTIAL,0.000000574
16,1,SYMMETRY,SEQUENTIAL,0.000000380
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,SYMMETRY,SEQUENTIAL,0.000000395
16,1,TRANSPOSITION,SEQUENTIAL,0.000000596
16,1,SYMMETRY,SEQUENTIAL,0.000000350
16,1,TRANSPOSITION,SEQUENTIAL,0.000000574
16,1,SYMMETRY,SEQUENTIAL,0.000000365
16,1,TRANSPOSITION,SEQUENTIAL,0.000000566
16,1,SYMMETRY,SEQUENTIAL,0.000000358
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,SYMMETRY,SEQUENTIAL,0.000000373
16,1,TRANSPOSITION,SEQUENTIAL,0.000000574
16,1,SYMMETRY,SEQUENTIAL,0.000000350
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,SYMMETRY,SEQUENTIAL,0.000000350
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,SYMMETRY,SEQUENTIAL,0.000000373
16,1,TRANSPOSITION,SEQUENTIAL,0.000000589
16,1,SYMMETRY,SEQUENTIAL,0.000000343
16,1,TRANSPOSITION,SEQUENTIAL,0.000000603
16,1,SYMMETRY,SEQUENTIAL,0.000000350
16,1,TRANSPOSITION,SEQUENTIAL,0.000000603
16,1,TRANSPOSITION,SEQUENTIAL,0.000000603
16,1,TRANSPOSITION,SEQUENTIAL,0.000000574
16,1,TRANSPOSITION,SEQUENTIAL,0.000000566
16,1,TRANSPOSITION,SEQUENTIAL,0.000000603
16,1,TRANSPOSITION,SEQUENTIAL,0.000000596
16,1,TRANSPOSITION,SEQUENTIAL,0.000000611
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,TRANSPOSITION,SEQUENTIAL,0.000000596
16,1,TRANSPOSITION,SEQUENTIAL,0.000000581
16,1,TRANSPOSITION,SEQUENTIAL,0.000000589
16,1,TRANSPOSITION,SEQUENTIAL,0.000000589
16,1,TRANSPOSITION,SEQUENTIAL,0.000000589
16,1,TRANSPOSITION,SEQUENTIAL,0.000000589
32,1,SYMMETRY,SEQUENTIAL,0.000001661
32,1,TRANSPOSITION,SEQUENTIAL,0.000002220
32,1,SYMMETRY,SEQUENTIAL,0.000001565
32,1,TRANSPOSITION,SEQUENTIAL,0.000002205
32,1,SYMMETRY,SEQUENTIAL,0.000001527
32,1,TRANSPOSITION,SEQUENTIAL,0.000002176
32,1,SYMMETRY,SEQUENTIAL,0.000001490
32,1,TRANSPOSITION,SEQUENTIAL,0.000002161
32,1,SYMMETRY,SEQUENTIAL,0.000001505
32,1,TRANSPOSITION,SEQUENTIAL,0.000002153
32,1,SYMMETRY,SEQUENTIAL,0.000001512
32,1,TRANSPOSITION,SEQUENTIAL,0.000002131
32,1,SYMMETRY,SEQUENTIAL,0.000001498
32,1,TRANSPOSITION,SEQUENTIAL,0.000002183
32,1,SYMMETRY,SEQUENTIAL,0.000001483
32,1,TRANSPOSITION,SEQUENTIAL,0.000002146
32,1,SYMMETRY,SEQUENTIAL,0.000001512
32,1,TRANSPOSITION,SEQUENTIAL,0.000002146
32,1,SYMMETRY,SEQUENTIAL,0.000001483
32,1,TRANSPOSITION,SEQUENTIAL,0.000002123
32,1,SYMMETRY,SEQUENTIAL,0.000001490
32,1,TRANSPOSITION,SEQUENTIAL,0.000002168
32,1,SYMMETRY,SEQUENTIAL,0.000001468
