Matrix Size,Function,Implementation,Execution Time
16,SYMMETRY,SEQUENTIAL,0.000002079
16,TRANSPOSITION,SEQUENTIAL,0.000002772
16,SYMMETRY,SEQUENTIAL,0.000000574
16,TRANSPOSITION,SEQUENTIAL,0.000000775
16,SYMMETRY,SEQUENTIAL,0.000000477
16,TRANSPOSITION,SEQUENTIAL,0.000000678
16,SYMMETRY,SEQUENTIAL,0.000000469
16,TRANSPOSITION,SEQUENTIAL,0.000000738
16,SYMMETRY,SEQUENTIAL,0.000000417
16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,TRANSPOSITION,SEQUENTIAL,0.000000753
16,TRANSPOSITION,SEQUENTIAL,0.000000678
16,TRANSPOSITION,SEQUENTIAL,0.000000767
16,TRANSPOSITION,SEQUENTIAL,0.000000738
32,SYMMETRY,SEQUENTIAL,0.000001661
32,TRANSPOSITION,SEQUENTIAL,0.000002719
32,SYMMETRY,SEQUENTIAL,0.000001594
32,TRANSPOSITION,SEQUENTIAL,0.000002623
32,SYMMETRY,SEQUENTIAL,0.000001520
32,TRANSPOSITION,SEQUENTIAL,0.000002645
32,SYMMETRY,SEQUENTIAL,0.000001594
32,TRANSPOSITION,SEQUENTIAL,0.000002563
32,SYMMETRY,SEQUENTIAL,0.000001512
32,TRANSPOSITION,SEQUENTIAL,0.000002615
32,TRANSPOSITION,SEQUENTIAL,0.000002600
32,TRANSPOSITION,SEQUENTIAL,0.000002593
32,TRANSPOSITION,SEQUENTIAL,0.000002630
32,TRANSPOSITION,SEQUENTIAL,0.000002638
32,TRANSPOSITION,SEQUENTIAL,0.000002615
64,SYMMETRY,SEQUENTIAL,0.000005893
64,TRANSPOSITION,SEQUENTIAL,0.000016749
64,SYMMETRY,SEQUENTIAL,0.000005871
64,TRANSPOSITION,SEQUENTIAL,0.000010304
64,SYMMETRY,SEQUENTIAL,0.000005849
64,TRANSPOSITION,SEQUENTIAL,0.000010259
64,SYMMETRY,SEQUENTIAL,0.000005908
64,TRANSPOSITION,SEQUENTIAL,0.000010282
64,SYMMETRY,SEQUENTIAL,0.000005901
64,TRANSPOSITION,SEQUENTIAL,0.000010267
64,TRANSPOSITION,SEQUENTIAL,0.000010245
64,TRANSPOSITION,SEQUENTIAL,0.000010304
64,TRANSPOSITION,SEQUENTIAL,0.000010252
64,TRANSPOSITION,SEQUENTIAL,0.000010245
64,TRANSPOSITION,SEQUENTIAL,0.000010267
128,SYMMETRY,SEQUENTIAL,0.000023790
128,TRANSPOSITION,SEQUENTIAL,0.000067212
128,SYMMETRY,SEQUENTIAL,0.000023738
128,TRANSPOSITION,SEQUENTIAL,0.000041232
128,SYMMETRY,SEQUENTIAL,0.000023760
128,TRANSPOSITION,SEQUENTIAL,0.000041261
128,SYMMETRY,SEQUENTIAL,0.000023767
128,TRANSPOSITION,SEQUENTIAL,0.000046983
128,SYMMETRY,SEQUENTIAL,0.000023678
128,TRANSPOSITION,SEQUENTIAL,0.000041217
128,TRANSPOSITION,SEQUENTIAL,0.000041246
128,TRANSPOSITION,SEQUENTIAL,0.000041232
128,TRANSPOSITION,SEQUENTIAL,0.000041239
128,TRANSPOSITION,SEQUENTIAL,0.000041202
128,TRANSPOSITION,SEQUENTIAL,0.000041284
256,SYMMETRY,SEQUENTIAL,0.000094026
256,TRANSPOSITION,SEQUENTIAL,0.000469618
256,SYMMETRY,SEQUENTIAL,0.000093959
256,TRANSPOSITION,SEQUENTIAL,0.000359245
256,SYMMETRY,SEQUENTIAL,0.000094056
256,TRANSPOSITION,SEQUENTIAL,0.000366479
256,SYMMETRY,SEQUENTIAL,0.000093922
