Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,1,SYMMETRY,MPI,REDUCE,0.000057220,0.000002146
16,1,TRANSPOSITION,MPI,SCATTER,0.000140190,0.000002384
16,1,SYMMETRY,MPI,REDUCE,0.000004530,0.000001907
16,1,TRANSPOSITION,MPI,SCATTER,0.000012398,0.000002146
16,1,SYMMETRY,MPI,REDUCE,0.000002623,0.000001431
16,1,TRANSPOSITION,MPI,SCATTER,0.000159025,0.000000477
16,1,SYMMETRY,MPI,REDUCE,0.000000715,0.000000238
16,1,TRANSPOSITION,MPI,SCATTER,0.000002623,0.000000477
16,1,SYMMETRY,MPI,REDUCE,0.000000477,0.000000477
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000477
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000477
16,1,TRANSPOSITION,MPI,BROADCAST,0.000001192,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000001192,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001669,0.000000477
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001669
32,1,TRANSPOSITION,MPI,SCATTER,0.000006437,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001669
32,1,TRANSPOSITION,MPI,SCATTER,0.000004292,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000004053,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001907,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000004053,0.000002146
32,1,TRANSPOSITION,MPI,SCATTER,0.000004053,0.000002384
