Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,1,SYMMETRY,MPI,REDUCE,0.000022650,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000053644,0.000000477
16,1,SYMMETRY,MPI,REDUCE,0.000001192,0.000000477
16,1,TRANSPOSITION,MPI,SCATTER,0.000003338,0.000000477
16,1,SYMMETRY,MPI,REDUCE,0.000000715,0.000000238
16,1,TRANSPOSITION,MPI,SCATTER,0.000107527,0.000000715
16,1,SYMMETRY,MPI,REDUCE,0.000000715,0.000000238
16,1,TRANSPOSITION,MPI,SCATTER,0.000002623,0.000000477
16,1,SYMMETRY,MPI,REDUCE,0.000000715,0.000000477
16,1,TRANSPOSITION,MPI,SCATTER,0.000002146,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000001431,0.000000954
16,1,TRANSPOSITION,MPI,SCATTER,0.000001669,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001907,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
16,1,TRANSPOSITION,MPI,SCATTER,0.000001669,0.000000477
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000954
16,1,TRANSPOSITION,MPI,SCATTER,0.000001669,0.000000715
16,1,TRANSPOSITION,MPI,BROADCAST,0.000000954,0.000000715
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000007629,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001907,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000004053,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001431
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,SYMMETRY,MPI,REDUCE,0.000001669,0.000001669
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000002861
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000002623
32,1,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000002146
32,1,TRANSPOSITION,MPI,BROADCAST,0.000002861,0.000002623
32,1,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000002146
32,1,TRANSPOSITION,MPI,BROADCAST,0.000002861,0.000002623
32,1,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000002146
32,1,TRANSPOSITION,MPI,BROADCAST,0.000002861,0.000002861
64,1,SYMMETRY,MPI,REDUCE,0.000005960,0.000005722
64,1,TRANSPOSITION,MPI,SCATTER,0.000024557,0.000015736
64,1,SYMMETRY,MPI,REDUCE,0.000005960,0.000005484
64,1,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000008583
64,1,SYMMETRY,MPI,REDUCE,0.000005960,0.000005484
64,1,TRANSPOSITION,MPI,SCATTER,0.000012159,0.000008821
64,1,SYMMETRY,MPI,REDUCE,0.000005960,0.000005484
64,1,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000008583
64,1,SYMMETRY,MPI,REDUCE,0.000005960,0.000005484
64,1,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000008821
64,1,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000008821
64,1,TRANSPOSITION,MPI,BROADCAST,0.000010967,0.000010490
64,1,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000008821
64,1,TRANSPOSITION,MPI,BROADCAST,0.000011206,0.000010252
64,1,TRANSPOSITION,MPI,SCATTER,0.000011683,0.000008583
64,1,TRANSPOSITION,MPI,BROADCAST,0.000011206,0.000010490
64,1,TRANSPOSITION,MPI,SCATTER,0.000011683,0.000008583
64,1,TRANSPOSITION,MPI,BROADCAST,0.000011206,0.000010490
64,1,TRANSPOSITION,MPI,SCATTER,0.000011683,0.000008583
64,1,TRANSPOSITION,MPI,BROADCAST,0.000010967,0.000010490
128,1,SYMMETRY,MPI,REDUCE,0.000022650,0.000022411
128,1,TRANSPOSITION,MPI,SCATTER,0.000081301,0.000052691
128,1,SYMMETRY,MPI,REDUCE,0.000022888,0.000022173
128,1,TRANSPOSITION,MPI,SCATTER,0.000045061,0.000035048
128,1,SYMMETRY,MPI,REDUCE,0.000022650,0.000022173
128,1,TRANSPOSITION,MPI,SCATTER,0.000044823,0.000035048
128,1,SYMMETRY,MPI,REDUCE,0.000022650,0.000022411
128,1,TRANSPOSITION,MPI,SCATTER,0.000046492,0.000035048
128,1,SYMMETRY,MPI,REDUCE,0.000022650,0.000022173
128,1,TRANSPOSITION,MPI,SCATTER,0.000044823,0.000035048
128,1,TRANSPOSITION,MPI,SCATTER,0.000048399,0.000038624
128,1,TRANSPOSITION,MPI,BROADCAST,0.000046015,0.000043869
128,1,TRANSPOSITION,MPI,SCATTER,0.000044346,0.000034571
128,1,TRANSPOSITION,MPI,BROADCAST,0.000046015,0.000043631
128,1,TRANSPOSITION,MPI,SCATTER,0.000046015,0.000036240
128,1,TRANSPOSITION,MPI,BROADCAST,0.000046015,0.000043631
128,1,TRANSPOSITION,MPI,SCATTER,0.000044584,0.000035048
128,1,TRANSPOSITION,MPI,BROADCAST,0.000045776,0.000043631
128,1,TRANSPOSITION,MPI,SCATTER,0.000046253,0.000036716
128,1,TRANSPOSITION,MPI,BROADCAST,0.000046015,0.000043869
256,1,SYMMETRY,MPI,REDUCE,0.000089884,0.000089169
256,1,TRANSPOSITION,MPI,SCATTER,0.000569582,0.000430822
256,1,SYMMETRY,MPI,REDUCE,0.000090361,0.000089169
256,1,TRANSPOSITION,MPI,SCATTER,0.000503540,0.000411272
256,1,SYMMETRY,MPI,REDUCE,0.000090122,0.000088930
256,1,TRANSPOSITION,MPI,SCATTER,0.000508785,0.000419140
256,1,SYMMETRY,MPI,REDUCE,0.000089884,0.000088930
256,1,TRANSPOSITION,MPI,SCATTER,0.000502825,0.000413418
256,1,SYMMETRY,MPI,REDUCE,0.000090361,0.000089169
256,1,TRANSPOSITION,MPI,SCATTER,0.000501871,0.000413418
256,1,TRANSPOSITION,MPI,SCATTER,0.000502825,0.000413179
256,1,TRANSPOSITION,MPI,BROADCAST,0.000215292,0.000205278
256,1,TRANSPOSITION,MPI,SCATTER,0.000468731,0.000410557
256,1,TRANSPOSITION,MPI,BROADCAST,0.000216722,0.000206470
256,1,TRANSPOSITION,MPI,SCATTER,0.000475883,0.000417709
256,1,TRANSPOSITION,MPI,BROADCAST,0.000216484,0.000205994
256,1,TRANSPOSITION,MPI,SCATTER,0.000478029,0.000418901
256,1,TRANSPOSITION,MPI,BROADCAST,0.000216484,0.000206470
256,1,TRANSPOSITION,MPI,SCATTER,0.000477314,0.000418901
256,1,TRANSPOSITION,MPI,BROADCAST,0.000218868,0.000205517
512,1,SYMMETRY,MPI,REDUCE,0.000482559,0.000480890
512,1,TRANSPOSITION,MPI,SCATTER,0.003732204,0.002956867
512,1,SYMMETRY,MPI,REDUCE,0.000483990,0.000482321
512,1,TRANSPOSITION,MPI,SCATTER,0.003266096,0.002745867
512,1,SYMMETRY,MPI,REDUCE,0.000482082,0.000480413
512,1,TRANSPOSITION,MPI,SCATTER,0.003275156,0.002726793
512,1,SYMMETRY,MPI,REDUCE,0.000481844,0.000480175
512,1,TRANSPOSITION,MPI,SCATTER,0.003334522,0.002793312
512,1,SYMMETRY,MPI,REDUCE,0.000483751,0.000482082
512,1,TRANSPOSITION,MPI,SCATTER,0.003325701,0.002784491
512,1,TRANSPOSITION,MPI,SCATTER,0.003384829,0.002844095
512,1,TRANSPOSITION,MPI,BROADCAST,0.001484156,0.001375914
512,1,TRANSPOSITION,MPI,SCATTER,0.003127575,0.002796650
512,1,TRANSPOSITION,MPI,BROADCAST,0.001476526,0.001368523
512,1,TRANSPOSITION,MPI,SCATTER,0.003213882,0.002882957
512,1,TRANSPOSITION,MPI,BROADCAST,0.001484394,0.001376867
512,1,TRANSPOSITION,MPI,SCATTER,0.003112316,0.002785921
512,1,TRANSPOSITION,MPI,BROADCAST,0.001465797,0.001371145
512,1,TRANSPOSITION,MPI,SCATTER,0.003201246,0.002873182
512,1,TRANSPOSITION,MPI,BROADCAST,0.001471281,0.001375675
1024,1,SYMMETRY,MPI,REDUCE,0.002932549,0.002930880
1024,1,TRANSPOSITION,MPI,SCATTER,0.022157192,0.018891573
1024,1,SYMMETRY,MPI,REDUCE,0.002932310,0.002930164
1024,1,TRANSPOSITION,MPI,SCATTER,0.020372391,0.018198490
1024,1,SYMMETRY,MPI,REDUCE,0.002934933,0.002933025
1024,1,TRANSPOSITION,MPI,SCATTER,0.020279408,0.017934322
1024,1,SYMMETRY,MPI,REDUCE,0.002929926,0.002928257
1024,1,TRANSPOSITION,MPI,SCATTER,0.020372391,0.018036366
1024,1,SYMMETRY,MPI,REDUCE,0.002934694,0.002932787
1024,1,TRANSPOSITION,MPI,SCATTER,0.020132303,0.017760754
1024,1,TRANSPOSITION,MPI,SCATTER,0.020506620,0.018166304
1024,1,TRANSPOSITION,MPI,BROADCAST,0.007131100,0.006735086
1024,1,TRANSPOSITION,MPI,SCATTER,0.019304991,0.017937899
1024,1,TRANSPOSITION,MPI,BROADCAST,0.007127285,0.006742477
1024,1,TRANSPOSITION,MPI,SCATTER,0.019521952,0.018140316
1024,1,TRANSPOSITION,MPI,BROADCAST,0.007143259,0.006748438
1024,1,TRANSPOSITION,MPI,SCATTER,0.019297600,0.017877340
1024,1,TRANSPOSITION,MPI,BROADCAST,0.007151127,0.006761551
1024,1,TRANSPOSITION,MPI,SCATTER,0.019479513,0.018083572
1024,1,TRANSPOSITION,MPI,BROADCAST,0.007145166,0.006747723
2048,1,SYMMETRY,MPI,REDUCE,0.019232988,0.019227743
2048,1,TRANSPOSITION,MPI,SCATTER,0.093781710,0.078712702
2048,1,SYMMETRY,MPI,REDUCE,0.018329859,0.018323660
2048,1,TRANSPOSITION,MPI,SCATTER,0.092141151,0.078916550
2048,1,SYMMETRY,MPI,REDUCE,0.018409252,0.018396139
2048,1,TRANSPOSITION,MPI,SCATTER,0.092417717,0.077818394
2048,1,SYMMETRY,MPI,REDUCE,0.018667698,0.018661261
2048,1,TRANSPOSITION,MPI,SCATTER,0.093414783,0.078823566
2048,1,SYMMETRY,MPI,REDUCE,0.018394709,0.018389463
2048,1,TRANSPOSITION,MPI,SCATTER,0.092989445,0.078414679
2048,1,TRANSPOSITION,MPI,SCATTER,0.093128204,0.078575373
2048,1,TRANSPOSITION,MPI,BROADCAST,0.047354460,0.044421196
2048,1,TRANSPOSITION,MPI,SCATTER,0.091724634,0.080470562
2048,1,TRANSPOSITION,MPI,BROADCAST,0.049974442,0.046965599
2048,1,TRANSPOSITION,MPI,SCATTER,0.088243961,0.079697609
2048,1,TRANSPOSITION,MPI,BROADCAST,0.049420834,0.046409369
2048,1,TRANSPOSITION,MPI,SCATTER,0.087918520,0.079373837
2048,1,TRANSPOSITION,MPI,BROADCAST,0.048988342,0.046027660
2048,1,TRANSPOSITION,MPI,SCATTER,0.088781357,0.080254555
2048,1,TRANSPOSITION,MPI,BROADCAST,0.049054146,0.046061039
4096,1,SYMMETRY,MPI,REDUCE,0.197109938,0.197093010
4096,1,TRANSPOSITION,MPI,SCATTER,0.407493114,0.342553139
4096,1,SYMMETRY,MPI,REDUCE,0.188514233,0.188506603
4096,1,TRANSPOSITION,MPI,SCATTER,0.428112268,0.363227606
4096,1,SYMMETRY,MPI,REDUCE,0.189744711,0.189730167
4096,1,TRANSPOSITION,MPI,SCATTER,0.411930323,0.347052097
