Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
16,16,SYMMETRY,SEQUENTIAL,0.000000753
16,16,TRANSPOSITION,SEQUENTIAL,0.000000793
16,16,SYMMETRY,SEQUENTIAL,0.000000603
16,16,TRANSPOSITION,SEQUENTIAL,0.000000715
16,16,SYMMETRY,SEQUENTIAL,0.000000555
16,16,TRANSPOSITION,SEQUENTIAL,0.000000671
16,16,SYMMETRY,SEQUENTIAL,0.000000477
16,16,TRANSPOSITION,SEQUENTIAL,0.000000704
16,16,SYMMETRY,SEQUENTIAL,0.000000484
16,16,TRANSPOSITION,SEQUENTIAL,0.000000652
16,16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,16,TRANSPOSITION,SEQUENTIAL,0.000000659
16,16,TRANSPOSITION,SEQUENTIAL,0.000000671
16,16,TRANSPOSITION,SEQUENTIAL,0.000000644
16,16,TRANSPOSITION,SEQUENTIAL,0.000000656
32,16,SYMMETRY,SEQUENTIAL,0.000001784
32,16,TRANSPOSITION,SEQUENTIAL,0.000002418
32,16,SYMMETRY,SEQUENTIAL,0.000001743
32,16,TRANSPOSITION,SEQUENTIAL,0.000002377
32,16,SYMMETRY,SEQUENTIAL,0.000001661
32,16,TRANSPOSITION,SEQUENTIAL,0.000002407
32,16,SYMMETRY,SEQUENTIAL,0.000001673
32,16,TRANSPOSITION,SEQUENTIAL,0.000002313
32,16,SYMMETRY,SEQUENTIAL,0.000001684
32,16,TRANSPOSITION,SEQUENTIAL,0.000002343
32,16,TRANSPOSITION,SEQUENTIAL,0.000002395
32,16,TRANSPOSITION,SEQUENTIAL,0.000002421
32,16,TRANSPOSITION,SEQUENTIAL,0.000002410
32,16,TRANSPOSITION,SEQUENTIAL,0.000002395
32,16,TRANSPOSITION,SEQUENTIAL,0.000002414
64,16,SYMMETRY,SEQUENTIAL,0.000006288
64,16,TRANSPOSITION,SEQUENTIAL,0.000014540
64,16,SYMMETRY,SEQUENTIAL,0.000006262
64,16,TRANSPOSITION,SEQUENTIAL,0.000009347
64,16,SYMMETRY,SEQUENTIAL,0.000006251
64,16,TRANSPOSITION,SEQUENTIAL,0.000009347
64,16,SYMMETRY,SEQUENTIAL,0.000006348
64,16,TRANSPOSITION,SEQUENTIAL,0.000009388
64,16,SYMMETRY,SEQUENTIAL,0.000006251
64,16,TRANSPOSITION,SEQUENTIAL,0.000009235
64,16,TRANSPOSITION,SEQUENTIAL,0.000009231
64,16,TRANSPOSITION,SEQUENTIAL,0.000009228
64,16,TRANSPOSITION,SEQUENTIAL,0.000009160
64,16,TRANSPOSITION,SEQUENTIAL,0.000009265
64,16,TRANSPOSITION,SEQUENTIAL,0.000009336
128,16,SYMMETRY,SEQUENTIAL,0.000024699
128,16,TRANSPOSITION,SEQUENTIAL,0.000069868
128,16,SYMMETRY,SEQUENTIAL,0.000024699
128,16,TRANSPOSITION,SEQUENTIAL,0.000038661
128,16,SYMMETRY,SEQUENTIAL,0.000024874
128,16,TRANSPOSITION,SEQUENTIAL,0.000038736
128,16,SYMMETRY,SEQUENTIAL,0.000024747
128,16,TRANSPOSITION,SEQUENTIAL,0.000038505
128,16,SYMMETRY,SEQUENTIAL,0.000024628
128,16,TRANSPOSITION,SEQUENTIAL,0.000038911
128,16,TRANSPOSITION,SEQUENTIAL,0.000038929
128,16,TRANSPOSITION,SEQUENTIAL,0.000039116
128,16,TRANSPOSITION,SEQUENTIAL,0.000039142
128,16,TRANSPOSITION,SEQUENTIAL,0.000038985
128,16,TRANSPOSITION,SEQUENTIAL,0.000039011
256,16,SYMMETRY,SEQUENTIAL,0.000097312
256,16,TRANSPOSITION,SEQUENTIAL,0.000513811
256,16,SYMMETRY,SEQUENTIAL,0.000097290
256,16,TRANSPOSITION,SEQUENTIAL,0.000385262
256,16,SYMMETRY,SEQUENTIAL,0.000097353
256,16,TRANSPOSITION,SEQUENTIAL,0.000350066
256,16,SYMMETRY,SEQUENTIAL,0.000097349
256,16,TRANSPOSITION,SEQUENTIAL,0.000357952
256,16,SYMMETRY,SEQUENTIAL,0.000097152
256,16,TRANSPOSITION,SEQUENTIAL,0.000385083
256,16,TRANSPOSITION,SEQUENTIAL,0.000386894
256,16,TRANSPOSITION,SEQUENTIAL,0.000349540
256,16,TRANSPOSITION,SEQUENTIAL,0.000346448
256,16,TRANSPOSITION,SEQUENTIAL,0.000346657
256,16,TRANSPOSITION,SEQUENTIAL,0.000349328
512,16,SYMMETRY,SEQUENTIAL,0.000541374
512,16,TRANSPOSITION,SEQUENTIAL,0.003017593
512,16,SYMMETRY,SEQUENTIAL,0.000530109
512,16,TRANSPOSITION,SEQUENTIAL,0.002543520
512,16,SYMMETRY,SEQUENTIAL,0.000527862
512,16,TRANSPOSITION,SEQUENTIAL,0.002550498
512,16,SYMMETRY,SEQUENTIAL,0.000528876
512,16,TRANSPOSITION,SEQUENTIAL,0.002545688
512,16,SYMMETRY,SEQUENTIAL,0.000528205
512,16,TRANSPOSITION,SEQUENTIAL,0.002544165
512,16,TRANSPOSITION,SEQUENTIAL,0.002538405
512,16,TRANSPOSITION,SEQUENTIAL,0.002549309
512,16,TRANSPOSITION,SEQUENTIAL,0.002544995
512,16,TRANSPOSITION,SEQUENTIAL,0.002547782
512,16,TRANSPOSITION,SEQUENTIAL,0.002531692
1024,16,SYMMETRY,SEQUENTIAL,0.003012419
1024,16,TRANSPOSITION,SEQUENTIAL,0.019263346
1024,16,SYMMETRY,SEQUENTIAL,0.002972838
1024,16,TRANSPOSITION,SEQUENTIAL,0.018213972
1024,16,SYMMETRY,SEQUENTIAL,0.002968598
1024,16,TRANSPOSITION,SEQUENTIAL,0.017293412
1024,16,SYMMETRY,SEQUENTIAL,0.002971064
1024,16,TRANSPOSITION,SEQUENTIAL,0.017398782
1024,16,SYMMETRY,SEQUENTIAL,0.002967600
1024,16,TRANSPOSITION,SEQUENTIAL,0.017340075
1024,16,TRANSPOSITION,SEQUENTIAL,0.017369170
1024,16,TRANSPOSITION,SEQUENTIAL,0.018675350
1024,16,TRANSPOSITION,SEQUENTIAL,0.017574076
1024,16,TRANSPOSITION,SEQUENTIAL,0.018201936
1024,16,TRANSPOSITION,SEQUENTIAL,0.017358735
2048,16,SYMMETRY,SEQUENTIAL,0.014147624
2048,16,TRANSPOSITION,SEQUENTIAL,0.080310032
2048,16,SYMMETRY,SEQUENTIAL,0.041329537
2048,16,TRANSPOSITION,SEQUENTIAL,0.086625796
2048,16,SYMMETRY,SEQUENTIAL,0.015830990
2048,16,TRANSPOSITION,SEQUENTIAL,0.077032767
2048,16,SYMMETRY,SEQUENTIAL,0.013886962
2048,16,TRANSPOSITION,SEQUENTIAL,0.072881505
2048,16,SYMMETRY,SEQUENTIAL,0.013995104
2048,16,TRANSPOSITION,SEQUENTIAL,0.072170630
2048,16,TRANSPOSITION,SEQUENTIAL,0.071045518
2048,16,TRANSPOSITION,SEQUENTIAL,0.072547659
2048,16,TRANSPOSITION,SEQUENTIAL,0.072460052
2048,16,TRANSPOSITION,SEQUENTIAL,0.071328577
2048,16,TRANSPOSITION,SEQUENTIAL,0.072204817
4096,16,SYMMETRY,SEQUENTIAL,0.151771594
4096,16,TRANSPOSITION,SEQUENTIAL,1.240932405
4096,16,SYMMETRY,SEQUENTIAL,0.240626674
4096,16,TRANSPOSITION,SEQUENTIAL,1.762197606
4096,16,SYMMETRY,SEQUENTIAL,0.243463546
4096,16,TRANSPOSITION,SEQUENTIAL,1.803628951
4096,16,SYMMETRY,SEQUENTIAL,0.241196074
4096,16,TRANSPOSITION,SEQUENTIAL,1.784647886
4096,16,SYMMETRY,SEQUENTIAL,0.235932227
4096,16,TRANSPOSITION,SEQUENTIAL,1.806907754
4096,16,TRANSPOSITION,SEQUENTIAL,1.778227236
4096,16,TRANSPOSITION,SEQUENTIAL,1.696258385
