Matrix Size,Threads,Function,Implementation,Execution Time
32,32,SYMMETRY,OMP,0.001454983
32,32,TRANSPOSITION,OMP,0.000020895
32,32,SYMMETRY,OMP,0.000019461
32,32,TRANSPOSITION,OMP,0.000019308
32,32,SYMMETRY,OMP,0.000016924
32,32,TRANSPOSITION,OMP,0.000020504
32,32,SYMMETRY,OMP,0.000051137
32,32,TRANSPOSITION,OMP,0.000018492
32,32,SYMMETRY,OMP,0.000017669
32,32,TRANSPOSITION,OMP,0.000021975
32,32,TRANSPOSITION,OMP,0.000019401
32,32,TRANSPOSITION,OMP,0.000020437
32,32,TRANSPOSITION,OMP,0.000019863
32,32,TRANSPOSITION,OMP,0.000019114
32,32,TRANSPOSITION,OMP,0.000020180
64,32,SYMMETRY,OMP,0.000022810
64,32,TRANSPOSITION,OMP,0.000043068
64,32,SYMMETRY,OMP,0.000025135
64,32,TRANSPOSITION,OMP,0.000036810
64,32,SYMMETRY,OMP,0.000023052
64,32,TRANSPOSITION,OMP,0.000045966
64,32,SYMMETRY,OMP,0.000024736
64,32,TRANSPOSITION,OMP,0.000044599
64,32,SYMMETRY,OMP,0.000025205
64,32,TRANSPOSITION,OMP,0.000044338
64,32,TRANSPOSITION,OMP,0.000044104
64,32,TRANSPOSITION,OMP,0.000038564
64,32,TRANSPOSITION,OMP,0.000040576
64,32,TRANSPOSITION,OMP,0.000044212
64,32,TRANSPOSITION,OMP,0.000040788
128,32,SYMMETRY,OMP,0.000035264
128,32,TRANSPOSITION,OMP,0.000124626
128,32,SYMMETRY,OMP,0.000034872
128,32,TRANSPOSITION,OMP,0.000131797
128,32,SYMMETRY,OMP,0.000032712
128,32,TRANSPOSITION,OMP,0.000129450
128,32,SYMMETRY,OMP,0.000035096
128,32,TRANSPOSITION,OMP,0.000140660
128,32,SYMMETRY,OMP,0.000033792
128,32,TRANSPOSITION,OMP,0.000133500
128,32,TRANSPOSITION,OMP,0.000127777
128,32,TRANSPOSITION,OMP,0.000131607
128,32,TRANSPOSITION,OMP,0.000134155
128,32,TRANSPOSITION,OMP,0.000139598
128,32,TRANSPOSITION,OMP,0.000137325
256,32,SYMMETRY,OMP,0.000061162
256,32,TRANSPOSITION,OMP,0.000228729
256,32,SYMMETRY,OMP,0.000055831
256,32,TRANSPOSITION,OMP,0.000256758
256,32,SYMMETRY,OMP,0.000058614
256,32,TRANSPOSITION,OMP,0.000263076
256,32,SYMMETRY,OMP,0.000059269
