Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
128,96,SYMMETRY,MPI,REDUCE,0.042783499,0.000001192
128,96,TRANSPOSITION,MPI,SCATTER,0.014022112,0.000000477
128,96,SYMMETRY,MPI,REDUCE,0.090348005,0.000000954
128,96,TRANSPOSITION,MPI,SCATTER,0.027209997,0.000000477
128,96,SYMMETRY,MPI,REDUCE,0.080138445,0.000000954
128,96,TRANSPOSITION,MPI,SCATTER,0.013255596,0.000000715
128,96,SYMMETRY,MPI,REDUCE,0.067326784,0.000001192
128,96,TRANSPOSITION,MPI,SCATTER,0.013008118,0.000000715
128,96,SYMMETRY,MPI,REDUCE,0.055820942,0.000000954
128,96,TRANSPOSITION,MPI,SCATTER,0.013011694,0.000000477
128,96,TRANSPOSITION,MPI,SCATTER,0.002731323,0.000000477
128,96,TRANSPOSITION,MPI,BROADCAST,0.026138067,0.000000477
128,96,TRANSPOSITION,MPI,SCATTER,0.003536940,0.000000477
128,96,TRANSPOSITION,MPI,BROADCAST,0.038948298,0.000000477
128,96,TRANSPOSITION,MPI,SCATTER,0.003789186,0.000000477
128,96,TRANSPOSITION,MPI,BROADCAST,0.038937807,0.000000477
128,96,TRANSPOSITION,MPI,SCATTER,0.008773565,0.000000477
128,96,TRANSPOSITION,MPI,BROADCAST,0.026138067,0.000000715
128,96,TRANSPOSITION,MPI,SCATTER,0.012175798,0.000000715
128,96,TRANSPOSITION,MPI,BROADCAST,0.038943052,0.000000715
256,96,SYMMETRY,MPI,REDUCE,0.040267467,0.000002861
256,96,TRANSPOSITION,MPI,SCATTER,0.013221502,0.000002146
256,96,SYMMETRY,MPI,REDUCE,0.044499159,0.000002861
256,96,TRANSPOSITION,MPI,SCATTER,0.013092518,0.000001669
256,96,SYMMETRY,MPI,REDUCE,0.037137985,0.000003099
256,96,TRANSPOSITION,MPI,SCATTER,0.013051987,0.000001669
256,96,SYMMETRY,MPI,REDUCE,0.045445204,0.000002861
256,96,TRANSPOSITION,MPI,SCATTER,0.013063669,0.000001669
256,96,SYMMETRY,MPI,REDUCE,0.045517921,0.000003099
256,96,TRANSPOSITION,MPI,SCATTER,0.013078213,0.000001669
256,96,TRANSPOSITION,MPI,SCATTER,0.000288010,0.000001907
256,96,TRANSPOSITION,MPI,BROADCAST,0.026524305,0.000201464
256,96,TRANSPOSITION,MPI,SCATTER,0.012495041,0.000001907
256,96,TRANSPOSITION,MPI,BROADCAST,0.032401800,0.000003576
256,96,TRANSPOSITION,MPI,SCATTER,0.004648209,0.000002861
256,96,TRANSPOSITION,MPI,BROADCAST,0.051717520,0.000002384
256,96,TRANSPOSITION,MPI,SCATTER,0.001922369,0.000001907
256,96,TRANSPOSITION,MPI,BROADCAST,0.051740646,0.000002384
256,96,TRANSPOSITION,MPI,SCATTER,0.003579378,0.000001669
256,96,TRANSPOSITION,MPI,BROADCAST,0.013382196,0.000002623
512,96,SYMMETRY,MPI,REDUCE,0.008723736,0.000017881
512,96,TRANSPOSITION,MPI,SCATTER,0.001611233,0.000007868
512,96,SYMMETRY,MPI,REDUCE,0.007065773,0.000017643
512,96,TRANSPOSITION,MPI,SCATTER,0.000623465,0.000007391
512,96,SYMMETRY,MPI,REDUCE,0.002064705,0.000018597
512,96,TRANSPOSITION,MPI,SCATTER,0.000619888,0.000007868
512,96,SYMMETRY,MPI,REDUCE,0.001638651,0.000018597
512,96,TRANSPOSITION,MPI,SCATTER,0.000622511,0.000008106
512,96,SYMMETRY,MPI,REDUCE,0.001633644,0.000018358
512,96,TRANSPOSITION,MPI,SCATTER,0.000628948,0.000007868
512,96,TRANSPOSITION,MPI,SCATTER,0.000709057,0.000007868
512,96,TRANSPOSITION,MPI,BROADCAST,0.002067804,0.000015497
512,96,TRANSPOSITION,MPI,SCATTER,0.000679970,0.000007629
512,96,TRANSPOSITION,MPI,BROADCAST,0.001897812,0.000015497
512,96,TRANSPOSITION,MPI,SCATTER,0.000696898,0.000007629
512,96,TRANSPOSITION,MPI,BROADCAST,0.001923800,0.000015736
512,96,TRANSPOSITION,MPI,SCATTER,0.000684977,0.000007629
512,96,TRANSPOSITION,MPI,BROADCAST,0.001897335,0.000015259
512,96,TRANSPOSITION,MPI,SCATTER,0.000667810,0.000007629
512,96,TRANSPOSITION,MPI,BROADCAST,0.001873970,0.000015736
1024,96,SYMMETRY,MPI,REDUCE,0.031877518,0.000100136
