Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
32,32,SYMMETRY,MPI,REDUCE,0.009590387,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000667334,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000030041,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000038147,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000029325,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000265598,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000026941,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022650,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000024796,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000023365,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000022888,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000021696,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000024796,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000021458,0.000001192
32,32,TRANSPOSITION,MPI,SCATTER,0.000021935,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000022888,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000039816,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000023127,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000021935,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000033617,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000022888,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000022650,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000021458,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000022888,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022411,0.000000000
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017166,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000018597,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000025034,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016451,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000038385,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016212,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016212,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000022411,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016689,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017643,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000024080,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016689,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000018358,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017881,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000021458,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017405,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000021696,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017166,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000021935,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000016451,0.000001192
32,32,TRANSPOSITION,MPI,SCATTER,0.000021458,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000036716,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000017881,0.000000715
64,32,SYMMETRY,MPI,REDUCE,0.000144243,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000046492,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000042915,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027895,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000040293,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000027895,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000040531,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000028372,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000046492,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000030994,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000041485,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000026941,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000039816,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028133,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000046015,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028133,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000041008,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027895,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000043631,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027180,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000041723,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027657,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000039101,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000040531,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000040770,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000026703,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000038862,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027418,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000041723,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028133,0.000000238
64,32,TRANSPOSITION,MPI,SCATTER,0.000027180,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039577,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000026941,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039339,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000026464,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000041008,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000029325,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000049353,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028372,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000040054,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000028372,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000045300,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027418,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000040770,0.000001192
64,32,TRANSPOSITION,MPI,SCATTER,0.000029087,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000038624,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028849,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000040531,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000029087,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039339,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000026941,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039816,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027657,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039577,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000028372,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000039816,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000028372,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000040293,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000026703,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000043154,0.000000715
128,32,SYMMETRY,MPI,REDUCE,0.000598669,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000191927,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000187874,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000058174,0.000001669
128,32,SYMMETRY,MPI,REDUCE,0.000106573,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000052691,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000112057,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000052452,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000252724,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000056028,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000104666,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000072479,0.000019073
128,32,SYMMETRY,MPI,REDUCE,0.000104427,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000051737,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000105858,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000052691,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000106573,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000052691,0.000001669
128,32,SYMMETRY,MPI,REDUCE,0.000102520,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000064611,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000106096,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000051498,0.000001192
128,32,SYMMETRY,MPI,REDUCE,0.000105143,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000052452,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000108957,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000053406,0.000001669
128,32,SYMMETRY,MPI,REDUCE,0.000106573,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000064135,0.000001669
128,32,SYMMETRY,MPI,REDUCE,0.000102520,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000053644,0.000001431
128,32,TRANSPOSITION,MPI,SCATTER,0.000053167,0.000001192
