Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
16,2,SYMMETRY,SEQUENTIAL,0.000002325
16,2,TRANSPOSITION,SEQUENTIAL,0.000002328
16,2,SYMMETRY,SEQUENTIAL,0.000002142
16,2,TRANSPOSITION,SEQUENTIAL,0.000002358
16,2,SYMMETRY,SEQUENTIAL,0.000000477
16,2,TRANSPOSITION,SEQUENTIAL,0.000000615
16,2,SYMMETRY,SEQUENTIAL,0.000000440
16,2,TRANSPOSITION,SEQUENTIAL,0.000000652
16,2,SYMMETRY,SEQUENTIAL,0.000000391
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,SYMMETRY,SEQUENTIAL,0.000000406
16,2,TRANSPOSITION,SEQUENTIAL,0.000000630
16,2,SYMMETRY,SEQUENTIAL,0.000000402
16,2,TRANSPOSITION,SEQUENTIAL,0.000000592
16,2,SYMMETRY,SEQUENTIAL,0.000000380
16,2,TRANSPOSITION,SEQUENTIAL,0.000000633
16,2,SYMMETRY,SEQUENTIAL,0.000000365
16,2,TRANSPOSITION,SEQUENTIAL,0.000000592
16,2,SYMMETRY,SEQUENTIAL,0.000000365
16,2,TRANSPOSITION,SEQUENTIAL,0.000000648
16,2,SYMMETRY,SEQUENTIAL,0.000000365
16,2,TRANSPOSITION,SEQUENTIAL,0.000000577
16,2,SYMMETRY,SEQUENTIAL,0.000000365
16,2,TRANSPOSITION,SEQUENTIAL,0.000000592
16,2,SYMMETRY,SEQUENTIAL,0.000000365
16,2,TRANSPOSITION,SEQUENTIAL,0.000000574
16,2,SYMMETRY,SEQUENTIAL,0.000000346
16,2,TRANSPOSITION,SEQUENTIAL,0.000000581
16,2,SYMMETRY,SEQUENTIAL,0.000000373
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,TRANSPOSITION,SEQUENTIAL,0.000000603
16,2,TRANSPOSITION,SEQUENTIAL,0.000000577
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,TRANSPOSITION,SEQUENTIAL,0.000000607
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,TRANSPOSITION,SEQUENTIAL,0.000000589
16,2,TRANSPOSITION,SEQUENTIAL,0.000000570
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,TRANSPOSITION,SEQUENTIAL,0.000000596
16,2,TRANSPOSITION,SEQUENTIAL,0.000000592
16,2,TRANSPOSITION,SEQUENTIAL,0.000000563
16,2,TRANSPOSITION,SEQUENTIAL,0.000000611
16,2,TRANSPOSITION,SEQUENTIAL,0.000000577
16,2,TRANSPOSITION,SEQUENTIAL,0.000000566
16,2,TRANSPOSITION,SEQUENTIAL,0.000000592
32,2,SYMMETRY,SEQUENTIAL,0.000001609
32,2,TRANSPOSITION,SEQUENTIAL,0.000002269
32,2,SYMMETRY,SEQUENTIAL,0.000001617
32,2,TRANSPOSITION,SEQUENTIAL,0.000002228
32,2,SYMMETRY,SEQUENTIAL,0.000001561
32,2,TRANSPOSITION,SEQUENTIAL,0.000002153
32,2,SYMMETRY,SEQUENTIAL,0.000001617
32,2,TRANSPOSITION,SEQUENTIAL,0.000002172
32,2,SYMMETRY,SEQUENTIAL,0.000001527
32,2,TRANSPOSITION,SEQUENTIAL,0.000002164
32,2,SYMMETRY,SEQUENTIAL,0.000001520
32,2,TRANSPOSITION,SEQUENTIAL,0.000002157
32,2,SYMMETRY,SEQUENTIAL,0.000001509
32,2,TRANSPOSITION,SEQUENTIAL,0.000002183
32,2,SYMMETRY,SEQUENTIAL,0.000001520
32,2,TRANSPOSITION,SEQUENTIAL,0.000002202
32,2,SYMMETRY,SEQUENTIAL,0.000001501
32,2,TRANSPOSITION,SEQUENTIAL,0.000002161
32,2,SYMMETRY,SEQUENTIAL,0.000001535
32,2,TRANSPOSITION,SEQUENTIAL,0.000002153
32,2,SYMMETRY,SEQUENTIAL,0.000001505
32,2,TRANSPOSITION,SEQUENTIAL,0.000002168
32,2,SYMMETRY,SEQUENTIAL,0.000001520
32,2,TRANSPOSITION,SEQUENTIAL,0.000002149
32,2,SYMMETRY,SEQUENTIAL,0.000001520
32,2,TRANSPOSITION,SEQUENTIAL,0.000002127
32,2,SYMMETRY,SEQUENTIAL,0.000001512
32,2,TRANSPOSITION,SEQUENTIAL,0.000002161
32,2,SYMMETRY,SEQUENTIAL,0.000001505
32,2,TRANSPOSITION,SEQUENTIAL,0.000002142
32,2,TRANSPOSITION,SEQUENTIAL,0.000002198
32,2,TRANSPOSITION,SEQUENTIAL,0.000002190
32,2,TRANSPOSITION,SEQUENTIAL,0.000002161
32,2,TRANSPOSITION,SEQUENTIAL,0.000002146
32,2,TRANSPOSITION,SEQUENTIAL,0.000002187
32,2,TRANSPOSITION,SEQUENTIAL,0.000002146
32,2,TRANSPOSITION,SEQUENTIAL,0.000002146
32,2,TRANSPOSITION,SEQUENTIAL,0.000002149
32,2,TRANSPOSITION,SEQUENTIAL,0.000002194
32,2,TRANSPOSITION,SEQUENTIAL,0.000002176
32,2,TRANSPOSITION,SEQUENTIAL,0.000002142
32,2,TRANSPOSITION,SEQUENTIAL,0.000002157
32,2,TRANSPOSITION,SEQUENTIAL,0.000002157
32,2,TRANSPOSITION,SEQUENTIAL,0.000002109
32,2,TRANSPOSITION,SEQUENTIAL,0.000002183
64,2,SYMMETRY,SEQUENTIAL,0.000005763
64,2,TRANSPOSITION,SEQUENTIAL,0.000013545
64,2,SYMMETRY,SEQUENTIAL,0.000005789
64,2,TRANSPOSITION,SEQUENTIAL,0.000008620
64,2,SYMMETRY,SEQUENTIAL,0.000005756
64,2,TRANSPOSITION,SEQUENTIAL,0.000008523
64,2,SYMMETRY,SEQUENTIAL,0.000005703
64,2,TRANSPOSITION,SEQUENTIAL,0.000008501
64,2,SYMMETRY,SEQUENTIAL,0.000005703
64,2,TRANSPOSITION,SEQUENTIAL,0.000008553
64,2,SYMMETRY,SEQUENTIAL,0.000005767
64,2,TRANSPOSITION,SEQUENTIAL,0.000008553
64,2,SYMMETRY,SEQUENTIAL,0.000005748
64,2,TRANSPOSITION,SEQUENTIAL,0.000008516
64,2,SYMMETRY,SEQUENTIAL,0.000005741
64,2,TRANSPOSITION,SEQUENTIAL,0.000008482
64,2,SYMMETRY,SEQUENTIAL,0.000005722
64,2,TRANSPOSITION,SEQUENTIAL,0.000008494
64,2,SYMMETRY,SEQUENTIAL,0.000005726
64,2,TRANSPOSITION,SEQUENTIAL,0.000008475
64,2,SYMMETRY,SEQUENTIAL,0.000005715
64,2,TRANSPOSITION,SEQUENTIAL,0.000008579
64,2,SYMMETRY,SEQUENTIAL,0.000005718
64,2,TRANSPOSITION,SEQUENTIAL,0.000008553
64,2,SYMMETRY,SEQUENTIAL,0.000005741
64,2,TRANSPOSITION,SEQUENTIAL,0.000008594
64,2,SYMMETRY,SEQUENTIAL,0.000005685
64,2,TRANSPOSITION,SEQUENTIAL,0.000008430
64,2,SYMMETRY,SEQUENTIAL,0.000005737
64,2,TRANSPOSITION,SEQUENTIAL,0.000008490
64,2,TRANSPOSITION,SEQUENTIAL,0.000008438
64,2,TRANSPOSITION,SEQUENTIAL,0.000008587
64,2,TRANSPOSITION,SEQUENTIAL,0.000008464
64,2,TRANSPOSITION,SEQUENTIAL,0.000008482
64,2,TRANSPOSITION,SEQUENTIAL,0.000008490
64,2,TRANSPOSITION,SEQUENTIAL,0.000008415
64,2,TRANSPOSITION,SEQUENTIAL,0.000008468
64,2,TRANSPOSITION,SEQUENTIAL,0.000008464
64,2,TRANSPOSITION,SEQUENTIAL,0.000008445
64,2,TRANSPOSITION,SEQUENTIAL,0.000008397
64,2,TRANSPOSITION,SEQUENTIAL,0.000008456
64,2,TRANSPOSITION,SEQUENTIAL,0.000008482
64,2,TRANSPOSITION,SEQUENTIAL,0.000008434
64,2,TRANSPOSITION,SEQUENTIAL,0.000008546
64,2,TRANSPOSITION,SEQUENTIAL,0.000008468
128,2,SYMMETRY,SEQUENTIAL,0.000022639
128,2,TRANSPOSITION,SEQUENTIAL,0.000061136
128,2,SYMMETRY,SEQUENTIAL,0.000022676
128,2,TRANSPOSITION,SEQUENTIAL,0.000035755
128,2,SYMMETRY,SEQUENTIAL,0.000022668
128,2,TRANSPOSITION,SEQUENTIAL,0.000035163
128,2,SYMMETRY,SEQUENTIAL,0.000022728
128,2,TRANSPOSITION,SEQUENTIAL,0.000035524
128,2,SYMMETRY,SEQUENTIAL,0.000022668
128,2,TRANSPOSITION,SEQUENTIAL,0.000035740
128,2,SYMMETRY,SEQUENTIAL,0.000022631
128,2,TRANSPOSITION,SEQUENTIAL,0.000035781
128,2,SYMMETRY,SEQUENTIAL,0.000022568
128,2,TRANSPOSITION,SEQUENTIAL,0.000035748
128,2,SYMMETRY,SEQUENTIAL,0.000022519
128,2,TRANSPOSITION,SEQUENTIAL,0.000035446
128,2,SYMMETRY,SEQUENTIAL,0.000022557
128,2,TRANSPOSITION,SEQUENTIAL,0.000035655
128,2,SYMMETRY,SEQUENTIAL,0.000022531
128,2,TRANSPOSITION,SEQUENTIAL,0.000035666
128,2,SYMMETRY,SEQUENTIAL,0.000022549
128,2,TRANSPOSITION,SEQUENTIAL,0.000040740
128,2,SYMMETRY,SEQUENTIAL,0.000022560
128,2,TRANSPOSITION,SEQUENTIAL,0.000035606
128,2,SYMMETRY,SEQUENTIAL,0.000022553
128,2,TRANSPOSITION,SEQUENTIAL,0.000035465
128,2,SYMMETRY,SEQUENTIAL,0.000022586
128,2,TRANSPOSITION,SEQUENTIAL,0.000035610
128,2,SYMMETRY,SEQUENTIAL,0.000022676
128,2,TRANSPOSITION,SEQUENTIAL,0.000035554
128,2,TRANSPOSITION,SEQUENTIAL,0.000035718
128,2,TRANSPOSITION,SEQUENTIAL,0.000035785
128,2,TRANSPOSITION,SEQUENTIAL,0.000035770
128,2,TRANSPOSITION,SEQUENTIAL,0.000035491
128,2,TRANSPOSITION,SEQUENTIAL,0.000035662
128,2,TRANSPOSITION,SEQUENTIAL,0.000035666
128,2,TRANSPOSITION,SEQUENTIAL,0.000035603
128,2,TRANSPOSITION,SEQUENTIAL,0.000035591
128,2,TRANSPOSITION,SEQUENTIAL,0.000035755
128,2,TRANSPOSITION,SEQUENTIAL,0.000035468
128,2,TRANSPOSITION,SEQUENTIAL,0.000035614
128,2,TRANSPOSITION,SEQUENTIAL,0.000035755
128,2,TRANSPOSITION,SEQUENTIAL,0.000035498
128,2,TRANSPOSITION,SEQUENTIAL,0.000035789
128,2,TRANSPOSITION,SEQUENTIAL,0.000035696
256,2,SYMMETRY,SEQUENTIAL,0.000089299
256,2,TRANSPOSITION,SEQUENTIAL,0.000454109
256,2,SYMMETRY,SEQUENTIAL,0.000089284
256,2,TRANSPOSITION,SEQUENTIAL,0.000349410
256,2,SYMMETRY,SEQUENTIAL,0.000089329
256,2,TRANSPOSITION,SEQUENTIAL,0.000344820
256,2,SYMMETRY,SEQUENTIAL,0.000089336
256,2,TRANSPOSITION,SEQUENTIAL,0.000320088
256,2,SYMMETRY,SEQUENTIAL,0.000089187
256,2,TRANSPOSITION,SEQUENTIAL,0.000344310
256,2,SYMMETRY,SEQUENTIAL,0.000089224
256,2,TRANSPOSITION,SEQUENTIAL,0.000349194
256,2,SYMMETRY,SEQUENTIAL,0.000089154
256,2,TRANSPOSITION,SEQUENTIAL,0.000316918
256,2,SYMMETRY,SEQUENTIAL,0.000089142
256,2,TRANSPOSITION,SEQUENTIAL,0.000321385
256,2,SYMMETRY,SEQUENTIAL,0.000089198
256,2,TRANSPOSITION,SEQUENTIAL,0.000347488
256,2,SYMMETRY,SEQUENTIAL,0.000089169
