Matrix Size,Threads,Function,Implementation,Execution Time
16,1,SYMMETRY,OMP,0.000070967
16,1,TRANSPOSITION,OMP,0.000004090
16,1,SYMMETRY,OMP,0.000039019
16,1,TRANSPOSITION,OMP,0.000003718
16,1,SYMMETRY,OMP,0.000011526
16,1,TRANSPOSITION,OMP,0.000001065
16,1,SYMMETRY,OMP,0.000011228
16,1,TRANSPOSITION,OMP,0.000001028
16,1,SYMMETRY,OMP,0.000011586
16,1,TRANSPOSITION,OMP,0.000001028
16,1,TRANSPOSITION,OMP,0.000001296
16,1,TRANSPOSITION,OMP,0.000001274
16,1,TRANSPOSITION,OMP,0.000001378
16,1,TRANSPOSITION,OMP,0.000001162
16,1,TRANSPOSITION,OMP,0.000001237
32,1,SYMMETRY,OMP,0.000023626
32,1,TRANSPOSITION,OMP,0.000002913
32,1,SYMMETRY,OMP,0.000023015
32,1,TRANSPOSITION,OMP,0.000002816
32,1,SYMMETRY,OMP,0.000022970
32,1,TRANSPOSITION,OMP,0.000002831
32,1,SYMMETRY,OMP,0.000022478
32,1,TRANSPOSITION,OMP,0.000002839
32,1,SYMMETRY,OMP,0.000022732
32,1,TRANSPOSITION,OMP,0.000002772
32,1,TRANSPOSITION,OMP,0.000002787
32,1,TRANSPOSITION,OMP,0.000002787
32,1,TRANSPOSITION,OMP,0.000002772
32,1,TRANSPOSITION,OMP,0.000003122
32,1,TRANSPOSITION,OMP,0.000003174
64,1,SYMMETRY,OMP,0.000048272
64,1,TRANSPOSITION,OMP,0.000009999
64,1,SYMMETRY,OMP,0.000049435
64,1,TRANSPOSITION,OMP,0.000010252
64,1,SYMMETRY,OMP,0.000048213
64,1,TRANSPOSITION,OMP,0.000010066
64,1,SYMMETRY,OMP,0.000047833
64,1,TRANSPOSITION,OMP,0.000010066
64,1,SYMMETRY,OMP,0.000047848
64,1,TRANSPOSITION,OMP,0.000010155
64,1,TRANSPOSITION,OMP,0.000010237
64,1,TRANSPOSITION,OMP,0.000010110
64,1,TRANSPOSITION,OMP,0.000010185
64,1,TRANSPOSITION,OMP,0.000010267
64,1,TRANSPOSITION,OMP,0.000010386
128,1,SYMMETRY,OMP,0.000109844
128,1,TRANSPOSITION,OMP,0.000039950
128,1,SYMMETRY,OMP,0.000108004
128,1,TRANSPOSITION,OMP,0.000039995
128,1,SYMMETRY,OMP,0.000111222
128,1,TRANSPOSITION,OMP,0.000040025
128,1,SYMMETRY,OMP,0.000106789
128,1,TRANSPOSITION,OMP,0.000039898
128,1,SYMMETRY,OMP,0.000107616
128,1,TRANSPOSITION,OMP,0.000039957
128,1,TRANSPOSITION,OMP,0.000040054
128,1,TRANSPOSITION,OMP,0.000040188
128,1,TRANSPOSITION,OMP,0.000040233
128,1,TRANSPOSITION,OMP,0.000040002
128,1,TRANSPOSITION,OMP,0.000040501
256,1,SYMMETRY,OMP,0.000263445
256,1,TRANSPOSITION,OMP,0.000349939
256,1,SYMMETRY,OMP,0.000259772
256,1,TRANSPOSITION,OMP,0.000311397
256,1,SYMMETRY,OMP,0.000255190
256,1,TRANSPOSITION,OMP,0.000349700
256,1,SYMMETRY,OMP,0.000256754
256,1,TRANSPOSITION,OMP,0.000353336
256,1,SYMMETRY,OMP,0.000255339
256,1,TRANSPOSITION,OMP,0.000349514
256,1,TRANSPOSITION,OMP,0.000310875
256,1,TRANSPOSITION,OMP,0.000353493
256,1,TRANSPOSITION,OMP,0.000350460
256,1,TRANSPOSITION,OMP,0.000353456
256,1,TRANSPOSITION,OMP,0.000312477
512,1,SYMMETRY,OMP,0.000799596
512,1,TRANSPOSITION,OMP,0.002405666
512,1,SYMMETRY,OMP,0.000801280
512,1,TRANSPOSITION,OMP,0.002406590
512,1,SYMMETRY,OMP,0.000801913
512,1,TRANSPOSITION,OMP,0.002395630
512,1,SYMMETRY,OMP,0.000801012
512,1,TRANSPOSITION,OMP,0.002402797
512,1,SYMMETRY,OMP,0.000800043
512,1,TRANSPOSITION,OMP,0.002407581
512,1,TRANSPOSITION,OMP,0.002395898
512,1,TRANSPOSITION,OMP,0.002395742
512,1,TRANSPOSITION,OMP,0.002391413
512,1,TRANSPOSITION,OMP,0.002393901
512,1,TRANSPOSITION,OMP,0.002395973
1024,1,SYMMETRY,OMP,0.003348768
1024,1,TRANSPOSITION,OMP,0.016572595
1024,1,SYMMETRY,OMP,0.003356226
1024,1,TRANSPOSITION,OMP,0.016458109
1024,1,SYMMETRY,OMP,0.003373057
1024,1,TRANSPOSITION,OMP,0.016532026
1024,1,SYMMETRY,OMP,0.003378868
1024,1,TRANSPOSITION,OMP,0.016455747
1024,1,SYMMETRY,OMP,0.003353655
1024,1,TRANSPOSITION,OMP,0.016471848
1024,1,TRANSPOSITION,OMP,0.016450286
1024,1,TRANSPOSITION,OMP,0.016452760
1024,1,TRANSPOSITION,OMP,0.016438976
1024,1,TRANSPOSITION,OMP,0.016434632
1024,1,TRANSPOSITION,OMP,0.016543768
2048,1,SYMMETRY,OMP,0.019813880
2048,1,TRANSPOSITION,OMP,0.074216262
2048,1,SYMMETRY,OMP,0.020288795
2048,1,TRANSPOSITION,OMP,0.088095129
2048,1,SYMMETRY,OMP,0.020372711
2048,1,TRANSPOSITION,OMP,0.072614327
2048,1,SYMMETRY,OMP,0.019427970
2048,1,TRANSPOSITION,OMP,0.074271984
2048,1,SYMMETRY,OMP,0.019851699
2048,1,TRANSPOSITION,OMP,0.074186936
2048,1,TRANSPOSITION,OMP,0.075376898
2048,1,TRANSPOSITION,OMP,0.073099054
2048,1,TRANSPOSITION,OMP,0.077444978
2048,1,TRANSPOSITION,OMP,0.077050097
2048,1,TRANSPOSITION,OMP,0.075758852
4096,1,SYMMETRY,OMP,0.190142505
4096,1,TRANSPOSITION,OMP,0.407432958
4096,1,SYMMETRY,OMP,0.190981127
4096,1,TRANSPOSITION,OMP,0.399976268
4096,1,SYMMETRY,OMP,0.190887690
4096,1,TRANSPOSITION,OMP,0.417346448
4096,1,SYMMETRY,OMP,0.191129781
4096,1,TRANSPOSITION,OMP,0.401592880
4096,1,SYMMETRY,OMP,0.193263493
4096,1,TRANSPOSITION,OMP,0.397452474
4096,1,TRANSPOSITION,OMP,0.399528667
4096,1,TRANSPOSITION,OMP,0.398834452
4096,1,TRANSPOSITION,OMP,0.399336822
4096,1,TRANSPOSITION,OMP,0.741104186
4096,1,TRANSPOSITION,OMP,0.395280428
16,1,SYMMETRY,OMP,0.000015408
16,1,TRANSPOSITION,OMP,0.000001229
16,1,SYMMETRY,OMP,0.000012107
16,1,TRANSPOSITION,OMP,0.000001185
16,1,SYMMETRY,OMP,0.000012033
16,1,TRANSPOSITION,OMP,0.000001036
16,1,SYMMETRY,OMP,0.000011764
16,1,TRANSPOSITION,OMP,0.000001036
16,1,SYMMETRY,OMP,0.000011638
16,1,TRANSPOSITION,OMP,0.000001021
16,1,TRANSPOSITION,OMP,0.000001438
16,1,TRANSPOSITION,OMP,0.000001349
16,1,TRANSPOSITION,OMP,0.000001408
16,1,TRANSPOSITION,OMP,0.000001259
16,1,TRANSPOSITION,OMP,0.000001334
32,1,SYMMETRY,OMP,0.000024222
32,1,TRANSPOSITION,OMP,0.000002891
32,1,SYMMETRY,OMP,0.000023440
32,1,TRANSPOSITION,OMP,0.000002839
32,1,SYMMETRY,OMP,0.000023149
32,1,TRANSPOSITION,OMP,0.000002809
32,1,SYMMETRY,OMP,0.000022702
32,1,TRANSPOSITION,OMP,0.000002868
32,1,SYMMETRY,OMP,0.000022665
32,1,TRANSPOSITION,OMP,0.000002831
32,1,TRANSPOSITION,OMP,0.000002891
32,1,TRANSPOSITION,OMP,0.000002854
32,1,TRANSPOSITION,OMP,0.000002854
32,1,TRANSPOSITION,OMP,0.000002928
32,1,TRANSPOSITION,OMP,0.000003152
64,1,SYMMETRY,OMP,0.000048630
64,1,TRANSPOSITION,OMP,0.000009932
64,1,SYMMETRY,OMP,0.000048846
64,1,TRANSPOSITION,OMP,0.000009991
64,1,SYMMETRY,OMP,0.000049382
64,1,TRANSPOSITION,OMP,0.000010051
64,1,SYMMETRY,OMP,0.000048339
64,1,TRANSPOSITION,OMP,0.000009820
64,1,SYMMETRY,OMP,0.000049554
64,1,TRANSPOSITION,OMP,0.000009850
64,1,TRANSPOSITION,OMP,0.000010386
64,1,TRANSPOSITION,OMP,0.000010364
64,1,TRANSPOSITION,OMP,0.000010088
64,1,TRANSPOSITION,OMP,0.000010319
64,1,TRANSPOSITION,OMP,0.000010170
128,1,SYMMETRY,OMP,0.000111341
128,1,TRANSPOSITION,OMP,0.000039555
128,1,SYMMETRY,OMP,0.000106946
128,1,TRANSPOSITION,OMP,0.000039563
