Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
2048,8,SYMMETRY,SEQUENTIAL,0.013101771
2048,8,TRANSPOSITION,SEQUENTIAL,0.081020705
2048,8,SYMMETRY,SEQUENTIAL,0.013105944
2048,8,TRANSPOSITION,SEQUENTIAL,0.080175862
2048,8,SYMMETRY,SEQUENTIAL,0.019560628
2048,8,TRANSPOSITION,SEQUENTIAL,0.079338342
2048,8,SYMMETRY,SEQUENTIAL,0.026682153
2048,8,TRANSPOSITION,SEQUENTIAL,0.106405683
2048,8,TRANSPOSITION,SEQUENTIAL,0.081747405
2048,8,TRANSPOSITION,SEQUENTIAL,0.079315893
2048,8,TRANSPOSITION,SEQUENTIAL,0.079553351
2048,8,TRANSPOSITION,SEQUENTIAL,0.078557998
2048,8,TRANSPOSITION,SEQUENTIAL,0.078645542
4096,8,SYMMETRY,SEQUENTIAL,0.135144688
4096,8,TRANSPOSITION,SEQUENTIAL,0.401089519
4096,8,SYMMETRY,SEQUENTIAL,0.190313399
4096,8,TRANSPOSITION,SEQUENTIAL,0.508823231
4096,8,SYMMETRY,SEQUENTIAL,0.191567302
4096,8,TRANSPOSITION,SEQUENTIAL,0.503432959
4096,8,SYMMETRY,SEQUENTIAL,0.189698443
4096,8,TRANSPOSITION,SEQUENTIAL,0.509301797
4096,8,SYMMETRY,SEQUENTIAL,0.191000924
4096,8,TRANSPOSITION,SEQUENTIAL,0.486908540
4096,8,TRANSPOSITION,SEQUENTIAL,0.488845192
4096,8,TRANSPOSITION,SEQUENTIAL,0.477108300
4096,8,TRANSPOSITION,SEQUENTIAL,0.488245338
4096,8,TRANSPOSITION,SEQUENTIAL,0.450633295
4096,8,TRANSPOSITION,SEQUENTIAL,0.478448115
16,8,SYMMETRY,SEQUENTIAL,0.000000797
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,SYMMETRY,SEQUENTIAL,0.000000581
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,SYMMETRY,SEQUENTIAL,0.000000499
16,8,TRANSPOSITION,SEQUENTIAL,0.000000663
16,8,SYMMETRY,SEQUENTIAL,0.000000499
16,8,TRANSPOSITION,SEQUENTIAL,0.000000656
16,8,SYMMETRY,SEQUENTIAL,0.000000432
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000685
16,8,TRANSPOSITION,SEQUENTIAL,0.000000663
16,8,TRANSPOSITION,SEQUENTIAL,0.000000685
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
32,8,SYMMETRY,SEQUENTIAL,0.000001773
32,8,TRANSPOSITION,SEQUENTIAL,0.000002444
32,8,SYMMETRY,SEQUENTIAL,0.000001751
32,8,TRANSPOSITION,SEQUENTIAL,0.000002429
32,8,SYMMETRY,SEQUENTIAL,0.000001706
32,8,TRANSPOSITION,SEQUENTIAL,0.000002332
32,8,SYMMETRY,SEQUENTIAL,0.000001691
32,8,TRANSPOSITION,SEQUENTIAL,0.000002369
32,8,SYMMETRY,SEQUENTIAL,0.000001639
32,8,TRANSPOSITION,SEQUENTIAL,0.000002541
32,8,TRANSPOSITION,SEQUENTIAL,0.000002436
32,8,TRANSPOSITION,SEQUENTIAL,0.000002377
32,8,TRANSPOSITION,SEQUENTIAL,0.000002362
32,8,TRANSPOSITION,SEQUENTIAL,0.000002399
32,8,TRANSPOSITION,SEQUENTIAL,0.000002369
64,8,SYMMETRY,SEQUENTIAL,0.000006229
64,8,TRANSPOSITION,SEQUENTIAL,0.000011496
64,8,SYMMETRY,SEQUENTIAL,0.000006266
64,8,TRANSPOSITION,SEQUENTIAL,0.000009663
64,8,SYMMETRY,SEQUENTIAL,0.000006273
64,8,TRANSPOSITION,SEQUENTIAL,0.000009209
64,8,SYMMETRY,SEQUENTIAL,0.000006273
64,8,TRANSPOSITION,SEQUENTIAL,0.000009306
64,8,SYMMETRY,SEQUENTIAL,0.000006229
64,8,TRANSPOSITION,SEQUENTIAL,0.000009321
64,8,TRANSPOSITION,SEQUENTIAL,0.000009365
64,8,TRANSPOSITION,SEQUENTIAL,0.000009388
64,8,TRANSPOSITION,SEQUENTIAL,0.000009269
64,8,TRANSPOSITION,SEQUENTIAL,0.000009187
64,8,TRANSPOSITION,SEQUENTIAL,0.000009336
