Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
64,64,SYMMETRY,SEQUENTIAL,0.000006806
64,64,TRANSPOSITION,SEQUENTIAL,0.000015445
64,64,SYMMETRY,SEQUENTIAL,0.000006974
64,64,TRANSPOSITION,SEQUENTIAL,0.000010584
64,64,SYMMETRY,SEQUENTIAL,0.000006992
64,64,TRANSPOSITION,SEQUENTIAL,0.000011005
64,64,SYMMETRY,SEQUENTIAL,0.000007033
64,64,TRANSPOSITION,SEQUENTIAL,0.000011344
64,64,SYMMETRY,SEQUENTIAL,0.000006940
64,64,TRANSPOSITION,SEQUENTIAL,0.000011120
64,64,TRANSPOSITION,SEQUENTIAL,0.000011221
64,64,TRANSPOSITION,SEQUENTIAL,0.000011493
64,64,TRANSPOSITION,SEQUENTIAL,0.000012878
64,64,TRANSPOSITION,SEQUENTIAL,0.000010416
64,64,TRANSPOSITION,SEQUENTIAL,0.000010636
128,64,SYMMETRY,SEQUENTIAL,0.000027329
128,64,TRANSPOSITION,SEQUENTIAL,0.000072367
128,64,SYMMETRY,SEQUENTIAL,0.000027314
128,64,TRANSPOSITION,SEQUENTIAL,0.000045024
128,64,SYMMETRY,SEQUENTIAL,0.000027210
128,64,TRANSPOSITION,SEQUENTIAL,0.000042927
128,64,SYMMETRY,SEQUENTIAL,0.000027206
128,64,TRANSPOSITION,SEQUENTIAL,0.000042558
128,64,SYMMETRY,SEQUENTIAL,0.000027329
128,64,TRANSPOSITION,SEQUENTIAL,0.000044763
128,64,TRANSPOSITION,SEQUENTIAL,0.000046406
128,64,TRANSPOSITION,SEQUENTIAL,0.000044119
128,64,TRANSPOSITION,SEQUENTIAL,0.000052433
128,64,TRANSPOSITION,SEQUENTIAL,0.000043847
128,64,TRANSPOSITION,SEQUENTIAL,0.000043523
256,64,SYMMETRY,SEQUENTIAL,0.000107095
256,64,TRANSPOSITION,SEQUENTIAL,0.000549428
256,64,SYMMETRY,SEQUENTIAL,0.000107359
256,64,TRANSPOSITION,SEQUENTIAL,0.000416920
256,64,SYMMETRY,SEQUENTIAL,0.000107367
256,64,TRANSPOSITION,SEQUENTIAL,0.000427656
