Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
16,1,SYMMETRY,SEQUENTIAL,0.000012062
16,1,TRANSPOSITION,SEQUENTIAL,0.000002634
16,1,SYMMETRY,SEQUENTIAL,0.000001915
16,1,TRANSPOSITION,SEQUENTIAL,0.000002146
16,1,SYMMETRY,SEQUENTIAL,0.000001606
16,1,TRANSPOSITION,SEQUENTIAL,0.000002202
16,1,SYMMETRY,SEQUENTIAL,0.000001553
16,1,TRANSPOSITION,SEQUENTIAL,0.000002291
16,1,SYMMETRY,SEQUENTIAL,0.000001337
16,1,TRANSPOSITION,SEQUENTIAL,0.000002183
16,1,SYMMETRY,SEQUENTIAL,0.000000417
16,1,TRANSPOSITION,SEQUENTIAL,0.000000644
16,1,SYMMETRY,SEQUENTIAL,0.000000440
16,1,TRANSPOSITION,SEQUENTIAL,0.000000630
16,1,SYMMETRY,SEQUENTIAL,0.000000447
16,1,TRANSPOSITION,SEQUENTIAL,0.000000644
16,1,SYMMETRY,SEQUENTIAL,0.000000414
16,1,TRANSPOSITION,SEQUENTIAL,0.000000652
16,1,SYMMETRY,SEQUENTIAL,0.000000406
16,1,TRANSPOSITION,SEQUENTIAL,0.000000626
16,1,SYMMETRY,SEQUENTIAL,0.000000402
16,1,TRANSPOSITION,SEQUENTIAL,0.000000626
16,1,SYMMETRY,SEQUENTIAL,0.000000406
16,1,TRANSPOSITION,SEQUENTIAL,0.000000656
16,1,SYMMETRY,SEQUENTIAL,0.000000410
16,1,TRANSPOSITION,SEQUENTIAL,0.000000633
16,1,SYMMETRY,SEQUENTIAL,0.000000414
16,1,TRANSPOSITION,SEQUENTIAL,0.000000641
16,1,SYMMETRY,SEQUENTIAL,0.000000410
16,1,TRANSPOSITION,SEQUENTIAL,0.000000618
16,1,TRANSPOSITION,SEQUENTIAL,0.000000656
16,1,TRANSPOSITION,SEQUENTIAL,0.000000630
16,1,TRANSPOSITION,SEQUENTIAL,0.000000641
16,1,TRANSPOSITION,SEQUENTIAL,0.000000641
16,1,TRANSPOSITION,SEQUENTIAL,0.000000644
16,1,TRANSPOSITION,SEQUENTIAL,0.000000652
