Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
64,64,SYMMETRY,SEQUENTIAL,0.000006966
64,64,TRANSPOSITION,SEQUENTIAL,0.000014983
64,64,SYMMETRY,SEQUENTIAL,0.000006989
64,64,TRANSPOSITION,SEQUENTIAL,0.000011735
64,64,SYMMETRY,SEQUENTIAL,0.000006959
64,64,TRANSPOSITION,SEQUENTIAL,0.000011325
64,64,SYMMETRY,SEQUENTIAL,0.000006966
64,64,TRANSPOSITION,SEQUENTIAL,0.000010341
64,64,SYMMETRY,SEQUENTIAL,0.000006989
64,64,TRANSPOSITION,SEQUENTIAL,0.000011608
64,64,TRANSPOSITION,SEQUENTIAL,0.000010952
64,64,TRANSPOSITION,SEQUENTIAL,0.000010319
64,64,TRANSPOSITION,SEQUENTIAL,0.000010327
64,64,TRANSPOSITION,SEQUENTIAL,0.000010811
64,64,TRANSPOSITION,SEQUENTIAL,0.000010274
128,64,SYMMETRY,SEQUENTIAL,0.000027232
128,64,TRANSPOSITION,SEQUENTIAL,0.000072517
128,64,SYMMETRY,SEQUENTIAL,0.000027195
128,64,TRANSPOSITION,SEQUENTIAL,0.000043742
128,64,SYMMETRY,SEQUENTIAL,0.000027277
128,64,TRANSPOSITION,SEQUENTIAL,0.000044122
128,64,SYMMETRY,SEQUENTIAL,0.000027217
128,64,TRANSPOSITION,SEQUENTIAL,0.000043340
128,64,SYMMETRY,SEQUENTIAL,0.000027239
128,64,TRANSPOSITION,SEQUENTIAL,0.000051923
128,64,TRANSPOSITION,SEQUENTIAL,0.000043623
128,64,TRANSPOSITION,SEQUENTIAL,0.000044227
128,64,TRANSPOSITION,SEQUENTIAL,0.000044703
128,64,TRANSPOSITION,SEQUENTIAL,0.000044584
128,64,TRANSPOSITION,SEQUENTIAL,0.000043541
256,64,SYMMETRY,SEQUENTIAL,0.000107169
256,64,TRANSPOSITION,SEQUENTIAL,0.000558630
256,64,SYMMETRY,SEQUENTIAL,0.000120521
256,64,TRANSPOSITION,SEQUENTIAL,0.000428073
256,64,SYMMETRY,SEQUENTIAL,0.000107251
256,64,TRANSPOSITION,SEQUENTIAL,0.000427544
256,64,SYMMETRY,SEQUENTIAL,0.000107259
256,64,TRANSPOSITION,SEQUENTIAL,0.000386357
256,64,SYMMETRY,SEQUENTIAL,0.000107303
256,64,TRANSPOSITION,SEQUENTIAL,0.000427261
256,64,TRANSPOSITION,SEQUENTIAL,0.000400797
256,64,TRANSPOSITION,SEQUENTIAL,0.000398070
256,64,TRANSPOSITION,SEQUENTIAL,0.000434838
256,64,TRANSPOSITION,SEQUENTIAL,0.000438377
256,64,TRANSPOSITION,SEQUENTIAL,0.000436127
512,64,SYMMETRY,SEQUENTIAL,0.000562154
512,64,TRANSPOSITION,SEQUENTIAL,0.003421701
512,64,SYMMETRY,SEQUENTIAL,0.000554629
512,64,TRANSPOSITION,SEQUENTIAL,0.002768137
512,64,SYMMETRY,SEQUENTIAL,0.000539713
512,64,TRANSPOSITION,SEQUENTIAL,0.002756409
512,64,SYMMETRY,SEQUENTIAL,0.000563703
512,64,TRANSPOSITION,SEQUENTIAL,0.003018305
512,64,SYMMETRY,SEQUENTIAL,0.000537090
512,64,TRANSPOSITION,SEQUENTIAL,0.002965920
512,64,TRANSPOSITION,SEQUENTIAL,0.002706490
512,64,TRANSPOSITION,SEQUENTIAL,0.002701446
512,64,TRANSPOSITION,SEQUENTIAL,0.002716847
512,64,TRANSPOSITION,SEQUENTIAL,0.002698757
512,64,TRANSPOSITION,SEQUENTIAL,0.002704479
1024,64,SYMMETRY,SEQUENTIAL,0.002721488
1024,64,TRANSPOSITION,SEQUENTIAL,0.019967966
1024,64,SYMMETRY,SEQUENTIAL,0.002727240
1024,64,TRANSPOSITION,SEQUENTIAL,0.019100375
1024,64,SYMMETRY,SEQUENTIAL,0.002739578
1024,64,TRANSPOSITION,SEQUENTIAL,0.019351006
1024,64,SYMMETRY,SEQUENTIAL,0.002734110
1024,64,TRANSPOSITION,SEQUENTIAL,0.019274689
1024,64,SYMMETRY,SEQUENTIAL,0.002945490
1024,64,TRANSPOSITION,SEQUENTIAL,0.020158805
1024,64,TRANSPOSITION,SEQUENTIAL,0.018901236
1024,64,TRANSPOSITION,SEQUENTIAL,0.020263121
1024,64,TRANSPOSITION,SEQUENTIAL,0.019771889
1024,64,TRANSPOSITION,SEQUENTIAL,0.026902378
1024,64,TRANSPOSITION,SEQUENTIAL,0.021639742
2048,64,SYMMETRY,SEQUENTIAL,0.012672581
2048,64,TRANSPOSITION,SEQUENTIAL,0.096088715
2048,64,SYMMETRY,SEQUENTIAL,0.012780741
2048,64,TRANSPOSITION,SEQUENTIAL,0.087941505
2048,64,SYMMETRY,SEQUENTIAL,0.012806408
2048,64,TRANSPOSITION,SEQUENTIAL,0.088998534
2048,64,SYMMETRY,SEQUENTIAL,0.012979649
2048,64,TRANSPOSITION,SEQUENTIAL,0.089140125
2048,64,SYMMETRY,SEQUENTIAL,0.013656020
2048,64,TRANSPOSITION,SEQUENTIAL,0.098802134
2048,64,TRANSPOSITION,SEQUENTIAL,0.087618478
2048,64,TRANSPOSITION,SEQUENTIAL,0.096793644
2048,64,TRANSPOSITION,SEQUENTIAL,0.092827246
2048,64,TRANSPOSITION,SEQUENTIAL,0.094211981
2048,64,TRANSPOSITION,SEQUENTIAL,0.095151864
