Matrix Size,Function,Implementation,Execution Time
2048,TRANSPOSITION,SEQUENTIAL,0.069319107
2048,TRANSPOSITION,SEQUENTIAL,0.069058210
2048,TRANSPOSITION,SEQUENTIAL,0.069320388
2048,TRANSPOSITION,SEQUENTIAL,0.068975836
2048,TRANSPOSITION,SEQUENTIAL,0.069480740
4096,SYMMETRY,SEQUENTIAL,0.118204117
4096,TRANSPOSITION,SEQUENTIAL,0.364908248
4096,SYMMETRY,SEQUENTIAL,0.163996235
4096,TRANSPOSITION,SEQUENTIAL,0.513228320
4096,SYMMETRY,SEQUENTIAL,0.161830433
4096,TRANSPOSITION,SEQUENTIAL,0.568945244
4096,SYMMETRY,SEQUENTIAL,0.159036003
4096,TRANSPOSITION,SEQUENTIAL,0.556427099
4096,SYMMETRY,SEQUENTIAL,0.154897071
4096,TRANSPOSITION,SEQUENTIAL,0.582134619
4096,TRANSPOSITION,SEQUENTIAL,0.490250863
4096,TRANSPOSITION,SEQUENTIAL,0.520574130
4096,TRANSPOSITION,SEQUENTIAL,0.537301779
4096,TRANSPOSITION,SEQUENTIAL,0.522145391
4096,TRANSPOSITION,SEQUENTIAL,0.530472599
16,SYMMETRY,SEQUENTIAL,0.000000492
16,TRANSPOSITION,SEQUENTIAL,0.000000797
16,SYMMETRY,SEQUENTIAL,0.000000499
16,TRANSPOSITION,SEQUENTIAL,0.000000685
16,SYMMETRY,SEQUENTIAL,0.000000454
16,TRANSPOSITION,SEQUENTIAL,0.000000678
16,SYMMETRY,SEQUENTIAL,0.000000410
16,TRANSPOSITION,SEQUENTIAL,0.000000663
16,SYMMETRY,SEQUENTIAL,0.000000350
16,TRANSPOSITION,SEQUENTIAL,0.000000648
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,TRANSPOSITION,SEQUENTIAL,0.000000671
16,TRANSPOSITION,SEQUENTIAL,0.000000641
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,TRANSPOSITION,SEQUENTIAL,0.000000693
32,SYMMETRY,SEQUENTIAL,0.000001520
32,TRANSPOSITION,SEQUENTIAL,0.000003338
32,SYMMETRY,SEQUENTIAL,0.000001520
32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,SYMMETRY,SEQUENTIAL,0.000001512
32,TRANSPOSITION,SEQUENTIAL,0.000002481
32,SYMMETRY,SEQUENTIAL,0.000001468
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,SYMMETRY,SEQUENTIAL,0.000001475
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,TRANSPOSITION,SEQUENTIAL,0.000002429
32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,TRANSPOSITION,SEQUENTIAL,0.000002421
32,TRANSPOSITION,SEQUENTIAL,0.000002421
64,SYMMETRY,SEQUENTIAL,0.000005588
64,TRANSPOSITION,SEQUENTIAL,0.000011809
64,SYMMETRY,SEQUENTIAL,0.000005610
64,TRANSPOSITION,SEQUENTIAL,0.000009753
64,SYMMETRY,SEQUENTIAL,0.000005648
64,TRANSPOSITION,SEQUENTIAL,0.000009730
64,SYMMETRY,SEQUENTIAL,0.000005573
64,TRANSPOSITION,SEQUENTIAL,0.000009693
64,SYMMETRY,SEQUENTIAL,0.000005528
64,TRANSPOSITION,SEQUENTIAL,0.000009753
64,TRANSPOSITION,SEQUENTIAL,0.000009760
64,TRANSPOSITION,SEQUENTIAL,0.000009790
64,TRANSPOSITION,SEQUENTIAL,0.000009768
64,TRANSPOSITION,SEQUENTIAL,0.000009671
64,TRANSPOSITION,SEQUENTIAL,0.000009708
128,SYMMETRY,SEQUENTIAL,0.000022508
128,TRANSPOSITION,SEQUENTIAL,0.000042662
128,SYMMETRY,SEQUENTIAL,0.000022426
128,TRANSPOSITION,SEQUENTIAL,0.000039384
128,SYMMETRY,SEQUENTIAL,0.000022441
128,TRANSPOSITION,SEQUENTIAL,0.000039272
128,SYMMETRY,SEQUENTIAL,0.000022516
128,TRANSPOSITION,SEQUENTIAL,0.000039294
128,SYMMETRY,SEQUENTIAL,0.000022337
128,TRANSPOSITION,SEQUENTIAL,0.000039287
128,TRANSPOSITION,SEQUENTIAL,0.000039376
128,TRANSPOSITION,SEQUENTIAL,0.000039317
128,TRANSPOSITION,SEQUENTIAL,0.000039309
128,TRANSPOSITION,SEQUENTIAL,0.000039317
128,TRANSPOSITION,SEQUENTIAL,0.000039294
256,SYMMETRY,SEQUENTIAL,0.000093170
256,TRANSPOSITION,SEQUENTIAL,0.000330560
256,SYMMETRY,SEQUENTIAL,0.000088729
256,TRANSPOSITION,SEQUENTIAL,0.000308700
256,SYMMETRY,SEQUENTIAL,0.000088714
256,TRANSPOSITION,SEQUENTIAL,0.000314206
256,SYMMETRY,SEQUENTIAL,0.000092268
256,TRANSPOSITION,SEQUENTIAL,0.000309601
256,SYMMETRY,SEQUENTIAL,0.000088915
256,TRANSPOSITION,SEQUENTIAL,0.000308998
256,TRANSPOSITION,SEQUENTIAL,0.000311561
256,TRANSPOSITION,SEQUENTIAL,0.000313245
256,TRANSPOSITION,SEQUENTIAL,0.000310265
256,TRANSPOSITION,SEQUENTIAL,0.000310332
256,TRANSPOSITION,SEQUENTIAL,0.000310846
512,SYMMETRY,SEQUENTIAL,0.000498377
512,TRANSPOSITION,SEQUENTIAL,0.003263347
512,SYMMETRY,SEQUENTIAL,0.000492439
512,TRANSPOSITION,SEQUENTIAL,0.002676338
512,SYMMETRY,SEQUENTIAL,0.000495188
512,TRANSPOSITION,SEQUENTIAL,0.002670415
512,SYMMETRY,SEQUENTIAL,0.000487633
512,TRANSPOSITION,SEQUENTIAL,0.002672046
512,SYMMETRY,SEQUENTIAL,0.000489190
512,TRANSPOSITION,SEQUENTIAL,0.002667993
512,TRANSPOSITION,SEQUENTIAL,0.002671160
512,TRANSPOSITION,SEQUENTIAL,0.002668157
512,TRANSPOSITION,SEQUENTIAL,0.002672896
512,TRANSPOSITION,SEQUENTIAL,0.002666876
512,TRANSPOSITION,SEQUENTIAL,0.002671175
1024,SYMMETRY,SEQUENTIAL,0.004916996
1024,TRANSPOSITION,SEQUENTIAL,0.020788282
1024,SYMMETRY,SEQUENTIAL,0.002948426
1024,TRANSPOSITION,SEQUENTIAL,0.017524034
1024,SYMMETRY,SEQUENTIAL,0.002942622
1024,TRANSPOSITION,SEQUENTIAL,0.017498396
1024,SYMMETRY,SEQUENTIAL,0.002944499
1024,TRANSPOSITION,SEQUENTIAL,0.017485112
1024,SYMMETRY,SEQUENTIAL,0.002944432
1024,TRANSPOSITION,SEQUENTIAL,0.017501436
1024,TRANSPOSITION,SEQUENTIAL,0.017476514
1024,TRANSPOSITION,SEQUENTIAL,0.017493784
1024,TRANSPOSITION,SEQUENTIAL,0.017504372
1024,TRANSPOSITION,SEQUENTIAL,0.017507881
1024,TRANSPOSITION,SEQUENTIAL,0.017551646
2048,SYMMETRY,SEQUENTIAL,0.020686425
2048,TRANSPOSITION,SEQUENTIAL,0.077845782
2048,SYMMETRY,SEQUENTIAL,0.013853334
2048,TRANSPOSITION,SEQUENTIAL,0.071204178
2048,SYMMETRY,SEQUENTIAL,0.014207952
2048,TRANSPOSITION,SEQUENTIAL,0.071156822
2048,SYMMETRY,SEQUENTIAL,0.014500901
2048,TRANSPOSITION,SEQUENTIAL,0.071202211
2048,SYMMETRY,SEQUENTIAL,0.013897009
2048,TRANSPOSITION,SEQUENTIAL,0.071116045
2048,TRANSPOSITION,SEQUENTIAL,0.070138238
2048,TRANSPOSITION,SEQUENTIAL,0.069117971
2048,TRANSPOSITION,SEQUENTIAL,0.069475822
2048,TRANSPOSITION,SEQUENTIAL,0.069414847
2048,TRANSPOSITION,SEQUENTIAL,0.069644012
4096,SYMMETRY,SEQUENTIAL,0.117864877
4096,TRANSPOSITION,SEQUENTIAL,0.384619355
4096,SYMMETRY,SEQUENTIAL,0.161056295
4096,TRANSPOSITION,SEQUENTIAL,0.497046955
4096,SYMMETRY,SEQUENTIAL,0.157693118
4096,TRANSPOSITION,SEQUENTIAL,0.506724745
