Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,16,SYMMETRY,MPI,REDUCE,0.030348301,0.000000477
16,16,TRANSPOSITION,MPI,SCATTER,0.000491381,0.000000238
16,16,SYMMETRY,MPI,REDUCE,0.000023127,0.000000238
16,16,TRANSPOSITION,MPI,SCATTER,0.000025034,0.000000238
16,16,SYMMETRY,MPI,REDUCE,0.000015497,0.000000000
16,16,TRANSPOSITION,MPI,SCATTER,0.000205755,0.000000000
16,16,SYMMETRY,MPI,REDUCE,0.000017643,0.000000238
16,16,TRANSPOSITION,MPI,SCATTER,0.000026226,0.000000238
16,16,SYMMETRY,MPI,REDUCE,0.000015736,0.000000000
16,16,TRANSPOSITION,MPI,SCATTER,0.000010729,0.000000000
16,16,TRANSPOSITION,MPI,SCATTER,0.000012398,0.000000000
16,16,TRANSPOSITION,MPI,BROADCAST,0.000008821,0.000000477
16,16,TRANSPOSITION,MPI,SCATTER,0.000010729,0.000000000
16,16,TRANSPOSITION,MPI,BROADCAST,0.000009060,0.000000238
16,16,TRANSPOSITION,MPI,SCATTER,0.000011921,0.000000238
16,16,TRANSPOSITION,MPI,BROADCAST,0.000010729,0.000000238
16,16,TRANSPOSITION,MPI,SCATTER,0.000011444,0.000000000
16,16,TRANSPOSITION,MPI,BROADCAST,0.000009775,0.000000238
16,16,TRANSPOSITION,MPI,SCATTER,0.000010490,0.000000238
16,16,TRANSPOSITION,MPI,BROADCAST,0.000009298,0.000000000
32,16,SYMMETRY,MPI,REDUCE,0.000047207,0.000000238
32,16,TRANSPOSITION,MPI,SCATTER,0.000022411,0.000000238
32,16,SYMMETRY,MPI,REDUCE,0.000025034,0.000000477
32,16,TRANSPOSITION,MPI,SCATTER,0.000014305,0.000000238
32,16,SYMMETRY,MPI,REDUCE,0.000020027,0.000000238
32,16,TRANSPOSITION,MPI,SCATTER,0.000015020,0.000000238
32,16,SYMMETRY,MPI,REDUCE,0.000021935,0.000000238
32,16,TRANSPOSITION,MPI,SCATTER,0.000013351,0.000000238
32,16,SYMMETRY,MPI,REDUCE,0.000019550,0.000000477
32,16,TRANSPOSITION,MPI,SCATTER,0.000013113,0.000000238
32,16,TRANSPOSITION,MPI,SCATTER,0.000013113,0.000000238
32,16,TRANSPOSITION,MPI,BROADCAST,0.000016689,0.000000477
32,16,TRANSPOSITION,MPI,SCATTER,0.000014782,0.000000238
32,16,TRANSPOSITION,MPI,BROADCAST,0.000018597,0.000000477
32,16,TRANSPOSITION,MPI,SCATTER,0.000013828,0.000000238
32,16,TRANSPOSITION,MPI,BROADCAST,0.000016451,0.000000477
32,16,TRANSPOSITION,MPI,SCATTER,0.000012636,0.000000238
32,16,TRANSPOSITION,MPI,BROADCAST,0.000015736,0.000000238
32,16,TRANSPOSITION,MPI,SCATTER,0.000013590,0.000000238
32,16,TRANSPOSITION,MPI,BROADCAST,0.000015020,0.000000238
64,16,SYMMETRY,MPI,REDUCE,0.000100613,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000070810,0.000000715
64,16,SYMMETRY,MPI,REDUCE,0.000038624,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000023842,0.000000715
64,16,SYMMETRY,MPI,REDUCE,0.000045061,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000024557,0.000000715
64,16,SYMMETRY,MPI,REDUCE,0.000039816,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000026226,0.000000715
64,16,SYMMETRY,MPI,REDUCE,0.000039339,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000023365,0.000000715
64,16,TRANSPOSITION,MPI,SCATTER,0.000023127,0.000000477
64,16,TRANSPOSITION,MPI,BROADCAST,0.000037193,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000022173,0.000000715
64,16,TRANSPOSITION,MPI,BROADCAST,0.000039816,0.000001192
64,16,TRANSPOSITION,MPI,SCATTER,0.000021696,0.000000715
64,16,TRANSPOSITION,MPI,BROADCAST,0.000038385,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000021458,0.000000715
64,16,TRANSPOSITION,MPI,BROADCAST,0.000040293,0.000000954
64,16,TRANSPOSITION,MPI,SCATTER,0.000022650,0.000000715
64,16,TRANSPOSITION,MPI,BROADCAST,0.000043154,0.000000954
128,16,SYMMETRY,MPI,REDUCE,0.000494003,0.000003338
128,16,TRANSPOSITION,MPI,SCATTER,0.000126123,0.000002384
128,16,SYMMETRY,MPI,REDUCE,0.000153065,0.000003576
128,16,TRANSPOSITION,MPI,SCATTER,0.000046253,0.000002623
128,16,SYMMETRY,MPI,REDUCE,0.000088930,0.000003338
128,16,TRANSPOSITION,MPI,SCATTER,0.000047207,0.000002623
128,16,SYMMETRY,MPI,REDUCE,0.000090122,0.000003576
128,16,TRANSPOSITION,MPI,SCATTER,0.000045061,0.000002623
128,16,SYMMETRY,MPI,REDUCE,0.000090361,0.000003338
128,16,TRANSPOSITION,MPI,SCATTER,0.000045538,0.000002623
128,16,TRANSPOSITION,MPI,SCATTER,0.000045061,0.000002384
128,16,TRANSPOSITION,MPI,BROADCAST,0.000108242,0.000003099
128,16,TRANSPOSITION,MPI,SCATTER,0.000046730,0.000002623
128,16,TRANSPOSITION,MPI,BROADCAST,0.000102520,0.000003099
128,16,TRANSPOSITION,MPI,SCATTER,0.000046968,0.000002384
128,16,TRANSPOSITION,MPI,BROADCAST,0.000098467,0.000003099
128,16,TRANSPOSITION,MPI,SCATTER,0.000046492,0.000002384
128,16,TRANSPOSITION,MPI,BROADCAST,0.000102758,0.000003099
128,16,TRANSPOSITION,MPI,SCATTER,0.000046968,0.000002623
128,16,TRANSPOSITION,MPI,BROADCAST,0.000101328,0.000003338
256,16,SYMMETRY,MPI,REDUCE,0.000935078,0.000012875
