Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
32,32,SYMMETRY,SEQUENTIAL,0.000001974
32,32,TRANSPOSITION,SEQUENTIAL,0.000002526
32,32,SYMMETRY,SEQUENTIAL,0.000001933
32,32,TRANSPOSITION,SEQUENTIAL,0.000002529
32,32,SYMMETRY,SEQUENTIAL,0.000001933
32,32,TRANSPOSITION,SEQUENTIAL,0.000002436
32,32,SYMMETRY,SEQUENTIAL,0.000001829
32,32,TRANSPOSITION,SEQUENTIAL,0.000002470
32,32,SYMMETRY,SEQUENTIAL,0.000001799
32,32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,32,TRANSPOSITION,SEQUENTIAL,0.000002477
32,32,TRANSPOSITION,SEQUENTIAL,0.000002481
32,32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,32,TRANSPOSITION,SEQUENTIAL,0.000002518
64,32,SYMMETRY,SEQUENTIAL,0.000006482
64,32,TRANSPOSITION,SEQUENTIAL,0.000009514
64,32,SYMMETRY,SEQUENTIAL,0.000006463
64,32,TRANSPOSITION,SEQUENTIAL,0.000009567
64,32,SYMMETRY,SEQUENTIAL,0.000006426
64,32,TRANSPOSITION,SEQUENTIAL,0.000009596
64,32,SYMMETRY,SEQUENTIAL,0.000006434
64,32,TRANSPOSITION,SEQUENTIAL,0.000009608
64,32,SYMMETRY,SEQUENTIAL,0.000006426
64,32,TRANSPOSITION,SEQUENTIAL,0.000009574
64,32,TRANSPOSITION,SEQUENTIAL,0.000009641
64,32,TRANSPOSITION,SEQUENTIAL,0.000009660
64,32,TRANSPOSITION,SEQUENTIAL,0.000009630
64,32,TRANSPOSITION,SEQUENTIAL,0.000010233
64,32,TRANSPOSITION,SEQUENTIAL,0.000010237
128,32,SYMMETRY,SEQUENTIAL,0.000025585
128,32,TRANSPOSITION,SEQUENTIAL,0.000071440
128,32,SYMMETRY,SEQUENTIAL,0.000025678
128,32,TRANSPOSITION,SEQUENTIAL,0.000039842
128,32,SYMMETRY,SEQUENTIAL,0.000037257
128,32,TRANSPOSITION,SEQUENTIAL,0.000039723
128,32,SYMMETRY,SEQUENTIAL,0.000025455
