Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
16,2,SYMMETRY,MPI,REDUCE,0.000865221,0.000001669
16,2,TRANSPOSITION,MPI,SCATTER,0.000128984,0.000001431
16,2,SYMMETRY,MPI,REDUCE,0.000014067,0.000000477
16,2,TRANSPOSITION,MPI,SCATTER,0.000008583,0.000000477
16,2,SYMMETRY,MPI,REDUCE,0.000011206,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000421286,0.000000477
16,2,SYMMETRY,MPI,REDUCE,0.000011683,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000007629,0.000000238
16,2,SYMMETRY,MPI,REDUCE,0.000011206,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000006437,0.000000238
16,2,TRANSPOSITION,MPI,SCATTER,0.000008106,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000012875,0.000009775
16,2,TRANSPOSITION,MPI,SCATTER,0.000003815,0.000000477
16,2,TRANSPOSITION,MPI,BROADCAST,0.000005007,0.000000477
16,2,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000000477
16,2,TRANSPOSITION,MPI,BROADCAST,0.000002861,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000003576,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003338,0.000000954
16,2,TRANSPOSITION,MPI,SCATTER,0.000004053,0.000000238
16,2,TRANSPOSITION,MPI,BROADCAST,0.000003099,0.000000954
32,2,SYMMETRY,MPI,REDUCE,0.000011683,0.000001192
32,2,TRANSPOSITION,MPI,SCATTER,0.000009775,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000006676,0.000002146
32,2,TRANSPOSITION,MPI,SCATTER,0.000006199,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000005484,0.000001431
32,2,TRANSPOSITION,MPI,SCATTER,0.000005960,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000005484,0.000001669
32,2,TRANSPOSITION,MPI,SCATTER,0.000006199,0.000001192
32,2,SYMMETRY,MPI,REDUCE,0.000005722,0.000001669
32,2,TRANSPOSITION,MPI,SCATTER,0.000006914,0.000001192
32,2,TRANSPOSITION,MPI,SCATTER,0.000007629,0.000000954
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005484,0.000002146
32,2,TRANSPOSITION,MPI,SCATTER,0.000006199,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005245,0.000001907
32,2,TRANSPOSITION,MPI,SCATTER,0.000005960,0.000000954
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005484,0.000001907
32,2,TRANSPOSITION,MPI,SCATTER,0.000006437,0.000000954
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005484,0.000001907
32,2,TRANSPOSITION,MPI,SCATTER,0.000006914,0.000001192
32,2,TRANSPOSITION,MPI,BROADCAST,0.000005007,0.000001907
64,2,SYMMETRY,MPI,REDUCE,0.000021696,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000024557,0.000005007
64,2,SYMMETRY,MPI,REDUCE,0.000010967,0.000004530
64,2,TRANSPOSITION,MPI,SCATTER,0.000014305,0.000004292
64,2,SYMMETRY,MPI,REDUCE,0.000013351,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000014067,0.000004530
64,2,SYMMETRY,MPI,REDUCE,0.000011206,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000015020,0.000004292
64,2,SYMMETRY,MPI,REDUCE,0.000013590,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000015020,0.000004292
64,2,TRANSPOSITION,MPI,SCATTER,0.000014067,0.000004053
64,2,TRANSPOSITION,MPI,BROADCAST,0.000020742,0.000005722
64,2,TRANSPOSITION,MPI,SCATTER,0.000013590,0.000004053
64,2,TRANSPOSITION,MPI,BROADCAST,0.000017643,0.000006199
64,2,TRANSPOSITION,MPI,SCATTER,0.000014305,0.000004053
64,2,TRANSPOSITION,MPI,BROADCAST,0.000017643,0.000005722
64,2,TRANSPOSITION,MPI,SCATTER,0.000014544,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000018597,0.000005484
64,2,TRANSPOSITION,MPI,SCATTER,0.000015259,0.000004292
64,2,TRANSPOSITION,MPI,BROADCAST,0.000017643,0.000005245
128,2,SYMMETRY,MPI,REDUCE,0.000113726,0.000016928
128,2,TRANSPOSITION,MPI,SCATTER,0.000080109,0.000023603
128,2,SYMMETRY,MPI,REDUCE,0.000043631,0.000017166
128,2,TRANSPOSITION,MPI,SCATTER,0.000046015,0.000016689
128,2,SYMMETRY,MPI,REDUCE,0.000036001,0.000016928
128,2,TRANSPOSITION,MPI,SCATTER,0.000043392,0.000016689
128,2,SYMMETRY,MPI,REDUCE,0.000037193,0.000017166
128,2,TRANSPOSITION,MPI,SCATTER,0.000046968,0.000016689
128,2,SYMMETRY,MPI,REDUCE,0.000035524,0.000017166
128,2,TRANSPOSITION,MPI,SCATTER,0.000045300,0.000016689
128,2,TRANSPOSITION,MPI,SCATTER,0.000046730,0.000016451
128,2,TRANSPOSITION,MPI,BROADCAST,0.000071287,0.000021935
128,2,TRANSPOSITION,MPI,SCATTER,0.000047922,0.000016451
128,2,TRANSPOSITION,MPI,BROADCAST,0.000053406,0.000021696
128,2,TRANSPOSITION,MPI,SCATTER,0.000043154,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000053644,0.000021696
128,2,TRANSPOSITION,MPI,SCATTER,0.000044346,0.000016689
128,2,TRANSPOSITION,MPI,BROADCAST,0.000051498,0.000021935
128,2,TRANSPOSITION,MPI,SCATTER,0.000044823,0.000016451
128,2,TRANSPOSITION,MPI,BROADCAST,0.000053406,0.000021935
256,2,SYMMETRY,MPI,REDUCE,0.000264168,0.000066757
256,2,TRANSPOSITION,MPI,SCATTER,0.000340939,0.000218630
256,2,SYMMETRY,MPI,REDUCE,0.000117540,0.000066757
256,2,TRANSPOSITION,MPI,SCATTER,0.000329018,0.000213623
256,2,SYMMETRY,MPI,REDUCE,0.000108004,0.000066519
256,2,TRANSPOSITION,MPI,SCATTER,0.000319958,0.000205040
256,2,SYMMETRY,MPI,REDUCE,0.000110388,0.000066519
256,2,TRANSPOSITION,MPI,SCATTER,0.000315428,0.000205755
256,2,SYMMETRY,MPI,REDUCE,0.000105381,0.000066519
256,2,TRANSPOSITION,MPI,SCATTER,0.000315189,0.000201225
256,2,TRANSPOSITION,MPI,SCATTER,0.000303984,0.000205278
256,2,TRANSPOSITION,MPI,BROADCAST,0.000222445,0.000093460
256,2,TRANSPOSITION,MPI,SCATTER,0.000291586,0.000193596
256,2,TRANSPOSITION,MPI,BROADCAST,0.000185251,0.000086308
256,2,TRANSPOSITION,MPI,SCATTER,0.000277519,0.000188589
256,2,TRANSPOSITION,MPI,BROADCAST,0.000174046,0.000086308
256,2,TRANSPOSITION,MPI,SCATTER,0.000283003,0.000205755
256,2,TRANSPOSITION,MPI,BROADCAST,0.000171423,0.000086308
256,2,TRANSPOSITION,MPI,SCATTER,0.000253916,0.000177383
256,2,TRANSPOSITION,MPI,BROADCAST,0.000172853,0.000086069
512,2,SYMMETRY,MPI,REDUCE,0.000865459,0.000376463
512,2,TRANSPOSITION,MPI,SCATTER,0.001796722,0.001134157
512,2,SYMMETRY,MPI,REDUCE,0.000561714,0.000375032
512,2,TRANSPOSITION,MPI,SCATTER,0.001477003,0.001014233
512,2,SYMMETRY,MPI,REDUCE,0.000561476,0.000373125
512,2,TRANSPOSITION,MPI,SCATTER,0.001549721,0.001066208
512,2,SYMMETRY,MPI,REDUCE,0.000550985,0.000371695
512,2,TRANSPOSITION,MPI,SCATTER,0.001496792,0.001009464
512,2,SYMMETRY,MPI,REDUCE,0.000552416,0.000375032
512,2,TRANSPOSITION,MPI,SCATTER,0.001553535,0.001066923
512,2,TRANSPOSITION,MPI,SCATTER,0.001504660,0.001008034
512,2,TRANSPOSITION,MPI,BROADCAST,0.001120329,0.000675201
512,2,TRANSPOSITION,MPI,SCATTER,0.001416445,0.001014709
512,2,TRANSPOSITION,MPI,BROADCAST,0.001035452,0.000670910
512,2,TRANSPOSITION,MPI,SCATTER,0.001404047,0.001008511
512,2,TRANSPOSITION,MPI,BROADCAST,0.001043320,0.000665665
512,2,TRANSPOSITION,MPI,SCATTER,0.001416683,0.001016855
512,2,TRANSPOSITION,MPI,BROADCAST,0.001036167,0.000671148
512,2,TRANSPOSITION,MPI,SCATTER,0.001410484,0.001012802
512,2,TRANSPOSITION,MPI,BROADCAST,0.001036406,0.000670671
1024,2,SYMMETRY,MPI,REDUCE,0.004567146,0.002276897
1024,2,TRANSPOSITION,MPI,SCATTER,0.012426376,0.009713650
1024,2,SYMMETRY,MPI,REDUCE,0.003111362,0.002267599
1024,2,TRANSPOSITION,MPI,SCATTER,0.011191130,0.009157181
1024,2,SYMMETRY,MPI,REDUCE,0.003107071,0.002260923
1024,2,TRANSPOSITION,MPI,SCATTER,0.011428833,0.009168625
1024,2,SYMMETRY,MPI,REDUCE,0.003089905,0.002258301
1024,2,TRANSPOSITION,MPI,SCATTER,0.011334896,0.009099722
1024,2,SYMMETRY,MPI,REDUCE,0.003105879,0.002262831
1024,2,TRANSPOSITION,MPI,SCATTER,0.011469603,0.009238720
1024,2,TRANSPOSITION,MPI,SCATTER,0.011345625,0.009124279
1024,2,TRANSPOSITION,MPI,BROADCAST,0.004974127,0.003465176
1024,2,TRANSPOSITION,MPI,SCATTER,0.010983229,0.009237289
1024,2,TRANSPOSITION,MPI,BROADCAST,0.004869461,0.003358841
1024,2,TRANSPOSITION,MPI,SCATTER,0.010651827,0.009045124
1024,2,TRANSPOSITION,MPI,BROADCAST,0.004854202,0.003359079
1024,2,TRANSPOSITION,MPI,SCATTER,0.010874987,0.009278536
1024,2,TRANSPOSITION,MPI,BROADCAST,0.004869223,0.003351927
