Matrix Size,Function,Implementation,Execution Time
16,SYMMETRY,SEQUENTIAL,0.000002161
16,TRANSPOSITION,SEQUENTIAL,0.000002794
16,SYMMETRY,SEQUENTIAL,0.000000499
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,SYMMETRY,SEQUENTIAL,0.000000477
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,SYMMETRY,SEQUENTIAL,0.000000440
16,TRANSPOSITION,SEQUENTIAL,0.000000663
16,SYMMETRY,SEQUENTIAL,0.000000365
16,TRANSPOSITION,SEQUENTIAL,0.000000641
16,TRANSPOSITION,SEQUENTIAL,0.000000700
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,TRANSPOSITION,SEQUENTIAL,0.000000656
16,TRANSPOSITION,SEQUENTIAL,0.000000663
16,TRANSPOSITION,SEQUENTIAL,0.000000671
32,SYMMETRY,SEQUENTIAL,0.000001490
32,TRANSPOSITION,SEQUENTIAL,0.000002488
32,SYMMETRY,SEQUENTIAL,0.000001512
32,TRANSPOSITION,SEQUENTIAL,0.000002459
32,SYMMETRY,SEQUENTIAL,0.000001535
32,TRANSPOSITION,SEQUENTIAL,0.000002511
32,SYMMETRY,SEQUENTIAL,0.000001520
32,TRANSPOSITION,SEQUENTIAL,0.000002444
32,SYMMETRY,SEQUENTIAL,0.000001483
32,TRANSPOSITION,SEQUENTIAL,0.000002444
32,TRANSPOSITION,SEQUENTIAL,0.000002511
32,TRANSPOSITION,SEQUENTIAL,0.000002451
32,TRANSPOSITION,SEQUENTIAL,0.000002451
32,TRANSPOSITION,SEQUENTIAL,0.000002451
32,TRANSPOSITION,SEQUENTIAL,0.000002451
64,SYMMETRY,SEQUENTIAL,0.000005603
64,TRANSPOSITION,SEQUENTIAL,0.000013478
64,SYMMETRY,SEQUENTIAL,0.000005595
64,TRANSPOSITION,SEQUENTIAL,0.000009537
64,SYMMETRY,SEQUENTIAL,0.000005536
64,TRANSPOSITION,SEQUENTIAL,0.000009574
64,SYMMETRY,SEQUENTIAL,0.000005685
64,TRANSPOSITION,SEQUENTIAL,0.000009529
64,SYMMETRY,SEQUENTIAL,0.000005558
64,TRANSPOSITION,SEQUENTIAL,0.000009544
64,TRANSPOSITION,SEQUENTIAL,0.000009544
64,TRANSPOSITION,SEQUENTIAL,0.000009529
64,TRANSPOSITION,SEQUENTIAL,0.000009589
64,TRANSPOSITION,SEQUENTIAL,0.000009514
64,TRANSPOSITION,SEQUENTIAL,0.000009529
128,SYMMETRY,SEQUENTIAL,0.000022359
128,TRANSPOSITION,SEQUENTIAL,0.000055335
128,SYMMETRY,SEQUENTIAL,0.000022560
128,TRANSPOSITION,SEQUENTIAL,0.000039093
